,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[580, 193, 96, 126]",0.22,0.0,0.34,0.02,0.25,0.03,0.15,,,,,,,,,,,,,,,,,,,,,,,,
1,"[933, 673, 45, 48]",0.0,0.0,0.0,0.0,0.05,0.02,0.93,,,,,,,,,,,,,,,,,,,,,,,,
2,"[934, 677, 42, 44]",0.0,0.0,0.0,0.32,0.04,0.09,0.56,,,,,,,,,,,,,,,,,,,,,,,,
3,"[613, 186, 111, 140]",0.17,0.0,0.24,0.0,0.22,0.01,0.36,,,,,,,,,,,,,,,,,,,,,,,,
4,"[603, 204, 101, 128]",0.06,0.0,0.11,0.0,0.54,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,
5,"[588, 209, 107, 136]",0.21,0.0,0.05,0.0,0.43,0.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,
6,"[583, 197, 105, 140]",0.47,0.0,0.05,0.0,0.33,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,
7,"[615, 200, 101, 130]",0.08,0.0,0.02,0.0,0.12,0.0,0.78,"[933, 676, 43, 42]",0.0,0.0,0.0,0.01,0.04,0.02,0.92,,,,,,,,,,,,,,,,
8,"[578, 186, 97, 124]",0.24,0.0,0.1,0.0,0.41,0.02,0.22,,,,,,,,,,,,,,,,,,,,,,,,
9,"[594, 190, 102, 132]",0.08,0.0,0.03,0.0,0.17,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,
10,"[578, 188, 104, 134]",0.27,0.0,0.09,0.0,0.31,0.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,
11,"[569, 194, 107, 132]",0.24,0.0,0.1,0.01,0.36,0.0,0.29,"[935, 676, 40, 40]",0.0,0.0,0.01,0.03,0.05,0.23,0.69,,,,,,,,,,,,,,,,
12,"[570, 191, 104, 131]",0.19,0.0,0.05,0.0,0.29,0.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,
13,"[608, 206, 103, 133]",0.22,0.0,0.06,0.0,0.44,0.0,0.27,"[932, 674, 42, 43]",0.0,0.0,0.0,0.04,0.04,0.12,0.8,,,,,,,,,,,,,,,,
14,"[587, 188, 102, 132]",0.27,0.0,0.15,0.0,0.24,0.09,0.24,"[936, 677, 39, 40]",0.0,0.0,0.0,0.04,0.04,0.03,0.89,,,,,,,,,,,,,,,,
15,"[597, 206, 103, 127]",0.09,0.0,0.05,0.0,0.18,0.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,
16,"[565, 207, 106, 128]",0.11,0.0,0.13,0.0,0.42,0.02,0.32,,,,,,,,,,,,,,,,,,,,,,,,
