,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17,box18,angry18,disgust18,fear18,happy18,sad18,surprise18,neutral18
0,"[160, 429, 45, 58]",0.05,0.0,0.02,0.03,0.09,0.01,0.8,"[207, 300, 31, 38]",0.1,0.02,0.11,0.14,0.56,0.01,0.07,"[475, 153, 28, 40]",0.41,0.0,0.01,0.0,0.41,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[459, 162, 29, 41]",0.57,0.0,0.08,0.02,0.25,0.06,0.03,"[210, 293, 30, 39]",0.07,0.0,0.18,0.12,0.39,0.01,0.24,"[157, 436, 41, 49]",0.18,0.01,0.02,0.33,0.17,0.03,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[214, 290, 29, 42]",0.14,0.0,0.1,0.32,0.19,0.09,0.16,"[154, 422, 43, 58]",0.08,0.0,0.13,0.48,0.1,0.06,0.16,"[1038, 188, 46, 63]",0.25,0.0,0.03,0.1,0.24,0.0,0.38,"[480, 151, 29, 42]",0.24,0.0,0.01,0.09,0.45,0.02,0.19,"[823, 229, 27, 29]",0.23,0.0,0.02,0.06,0.39,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[170, 424, 45, 57]",0.07,0.0,0.07,0.48,0.04,0.03,0.3,"[476, 154, 29, 41]",0.6,0.0,0.01,0.02,0.34,0.0,0.02,"[222, 291, 29, 40]",0.11,0.0,0.03,0.45,0.09,0.01,0.3,"[1040, 189, 47, 66]",0.25,0.0,0.06,0.16,0.23,0.1,0.21,"[939, 244, 27, 35]",0.17,0.0,0.17,0.07,0.4,0.02,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[214, 300, 29, 37]",0.23,0.02,0.07,0.27,0.12,0.06,0.23,"[159, 428, 45, 57]",0.1,0.0,0.04,0.25,0.05,0.13,0.43,"[1041, 190, 44, 60]",0.11,0.0,0.02,0.09,0.23,0.01,0.54,"[935, 239, 25, 33]",0.37,0.0,0.09,0.05,0.17,0.09,0.23,"[478, 152, 27, 39]",0.13,0.0,0.02,0.11,0.3,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[160, 433, 45, 56]",0.01,0.0,0.04,0.72,0.03,0.01,0.2,"[214, 292, 31, 40]",0.02,0.0,0.02,0.53,0.07,0.04,0.3,"[474, 153, 29, 42]",0.5,0.0,0.02,0.07,0.27,0.0,0.13,"[1038, 189, 47, 62]",0.15,0.0,0.07,0.08,0.21,0.03,0.47,"[938, 234, 29, 41]",0.19,0.0,0.05,0.01,0.53,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[165, 428, 45, 56]",0.0,0.0,0.01,0.8,0.01,0.01,0.18,"[223, 293, 29, 40]",0.09,0.0,0.05,0.14,0.34,0.01,0.37,"[471, 152, 29, 40]",0.33,0.0,0.01,0.04,0.37,0.0,0.25,"[1047, 187, 42, 55]",0.28,0.0,0.04,0.01,0.37,0.0,0.29,"[933, 240, 26, 34]",0.36,0.0,0.04,0.01,0.44,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[471, 154, 29, 41]",0.36,0.0,0.01,0.04,0.49,0.0,0.1,"[164, 429, 45, 60]",0.08,0.0,0.01,0.75,0.01,0.08,0.08,"[224, 292, 29, 40]",0.02,0.0,0.03,0.6,0.12,0.01,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[477, 153, 28, 40]",0.2,0.0,0.01,0.01,0.62,0.0,0.15,"[158, 436, 44, 57]",0.19,0.0,0.07,0.48,0.07,0.03,0.15,"[223, 295, 29, 39]",0.03,0.0,0.06,0.5,0.08,0.02,0.32,"[933, 242, 25, 33]",0.16,0.0,0.04,0.01,0.63,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[225, 290, 28, 41]",0.07,0.0,0.05,0.16,0.1,0.0,0.62,"[157, 443, 44, 60]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[474, 151, 28, 40]",0.42,0.0,0.01,0.02,0.31,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
