,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17
0,"[160, 429, 45, 58]",0.05,0.0,0.02,0.03,0.09,0.01,0.8,"[207, 300, 31, 38]",0.1,0.02,0.11,0.14,0.56,0.01,0.07,"[475, 153, 28, 40]",0.41,0.0,0.01,0.0,0.41,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[212, 294, 30, 39]",0.09,0.0,0.07,0.15,0.27,0.01,0.41,"[157, 434, 43, 54]",0.05,0.0,0.01,0.86,0.01,0.03,0.04,"[460, 162, 27, 42]",0.64,0.0,0.09,0.05,0.14,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[479, 153, 30, 41]",0.28,0.0,0.01,0.08,0.37,0.01,0.26,"[213, 290, 31, 43]",0.2,0.0,0.08,0.21,0.32,0.02,0.18,"[152, 418, 43, 56]",0.01,0.0,0.08,0.8,0.05,0.03,0.03,"[1040, 189, 43, 59]",0.1,0.0,0.01,0.03,0.18,0.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[476, 159, 29, 42]",0.43,0.0,0.06,0.05,0.42,0.01,0.03,"[221, 290, 30, 41]",0.12,0.0,0.06,0.47,0.13,0.02,0.2,"[169, 421, 44, 59]",0.04,0.0,0.01,0.37,0.05,0.01,0.52,"[1041, 192, 45, 60]",0.18,0.0,0.05,0.13,0.32,0.03,0.29,"[939, 246, 26, 34]",0.2,0.0,0.1,0.08,0.45,0.02,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[161, 422, 44, 53]",0.28,0.0,0.1,0.1,0.1,0.04,0.38,"[215, 300, 31, 37]",0.04,0.0,0.02,0.87,0.02,0.01,0.04,"[1042, 188, 47, 65]",0.13,0.0,0.01,0.1,0.1,0.0,0.66,"[935, 242, 26, 32]",0.25,0.0,0.05,0.01,0.29,0.02,0.39,"[480, 151, 29, 43]",0.18,0.0,0.01,0.13,0.45,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[212, 293, 30, 39]",0.04,0.0,0.04,0.16,0.15,0.08,0.52,"[144, 423, 45, 58]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,"[1038, 190, 46, 61]",0.21,0.0,0.06,0.06,0.2,0.03,0.45,"[476, 152, 28, 40]",0.45,0.0,0.01,0.04,0.37,0.0,0.13,"[938, 237, 27, 37]",0.19,0.0,0.07,0.02,0.6,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[221, 292, 29, 40]",0.09,0.0,0.06,0.27,0.25,0.0,0.32,"[165, 432, 44, 56]",0.0,0.0,0.0,0.95,0.0,0.01,0.04,"[472, 154, 29, 39]",0.43,0.0,0.01,0.03,0.39,0.0,0.15,"[932, 242, 27, 33]",0.2,0.0,0.02,0.01,0.52,0.0,0.24,"[1041, 190, 42, 58]",0.14,0.0,0.02,0.04,0.21,0.01,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[163, 432, 44, 56]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[225, 290, 30, 43]",0.08,0.0,0.03,0.12,0.3,0.01,0.47,"[468, 155, 29, 40]",0.36,0.0,0.01,0.06,0.29,0.0,0.28,"[936, 240, 25, 33]",0.06,0.0,0.06,0.01,0.72,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[168, 426, 46, 58]",0.04,0.0,0.01,0.41,0.01,0.03,0.49,"[223, 295, 29, 38]",0.0,0.0,0.02,0.86,0.02,0.0,0.09,"[474, 151, 28, 41]",0.42,0.0,0.01,0.01,0.38,0.0,0.18,"[935, 239, 25, 32]",0.49,0.0,0.06,0.04,0.28,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[225, 291, 29, 40]",0.03,0.0,0.01,0.24,0.04,0.0,0.68,"[478, 152, 30, 40]",0.3,0.0,0.01,0.08,0.25,0.0,0.35,"[143, 439, 42, 58]",0.09,0.0,0.53,0.16,0.13,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
