,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[398, 76, 332, 424]",0.14,0.0,0.12,0.0,0.15,0.01,0.59,,,,,,,,
1,"[487, 115, 345, 454]",0.4,0.06,0.18,0.0,0.19,0.0,0.17,,,,,,,,
2,"[526, 135, 340, 446]",0.59,0.12,0.09,0.02,0.11,0.0,0.07,,,,,,,,
3,"[523, 139, 341, 466]",0.34,0.0,0.09,0.01,0.11,0.0,0.44,,,,,,,,
4,"[507, 157, 331, 446]",0.44,0.01,0.09,0.09,0.17,0.01,0.21,,,,,,,,
5,"[482, 114, 349, 447]",0.2,0.02,0.11,0.01,0.13,0.0,0.53,,,,,,,,
6,"[361, 127, 344, 429]",0.31,0.0,0.08,0.0,0.13,0.0,0.47,"[482, 500, 70, 86]",0.1,0.0,0.19,0.01,0.57,0.01,0.12
7,"[225, 138, 361, 436]",0.17,0.0,0.2,0.0,0.2,0.01,0.41,,,,,,,,
8,"[450, 92, 221, 266]",0.38,0.0,0.29,0.0,0.02,0.0,0.3,,,,,,,,
9,"[601, 85, 217, 284]",0.16,0.0,0.12,0.01,0.07,0.01,0.63,,,,,,,,
10,"[521, 85, 221, 283]",0.28,0.1,0.31,0.0,0.19,0.01,0.11,,,,,,,,
11,"[535, 59, 217, 289]",0.38,0.0,0.05,0.01,0.1,0.01,0.45,,,,,,,,
12,"[558, 90, 215, 284]",0.47,0.0,0.02,0.0,0.02,0.01,0.47,,,,,,,,
13,"[570, 83, 215, 283]",0.24,0.0,0.03,0.0,0.04,0.01,0.69,,,,,,,,
14,"[588, 91, 207, 277]",0.38,0.0,0.02,0.0,0.05,0.0,0.54,,,,,,,,
15,"[597, 86, 217, 285]",0.1,0.0,0.01,0.02,0.02,0.0,0.85,,,,,,,,
16,"[555, 75, 216, 284]",0.23,0.14,0.04,0.0,0.16,0.0,0.41,,,,,,,,
17,"[575, 72, 217, 287]",0.36,0.0,0.01,0.01,0.01,0.0,0.61,,,,,,,,
18,"[582, 91, 216, 281]",0.51,0.14,0.03,0.0,0.07,0.0,0.25,,,,,,,,
19,"[586, 89, 220, 286]",0.16,0.0,0.03,0.0,0.2,0.0,0.6,"[247, 385, 106, 127]",0.16,0.0,0.16,0.26,0.09,0.02,0.31
20,"[566, 97, 223, 296]",0.34,0.01,0.09,0.01,0.41,0.01,0.14,,,,,,,,
21,"[553, 104, 225, 299]",0.47,0.01,0.2,0.01,0.14,0.02,0.15,,,,,,,,
22,"[544, 124, 218, 284]",0.07,0.0,0.0,0.0,0.07,0.0,0.85,,,,,,,,
23,"[538, 123, 220, 285]",0.23,0.0,0.02,0.0,0.25,0.01,0.5,,,,,,,,
24,"[510, 157, 236, 287]",0.06,0.0,0.67,0.0,0.15,0.05,0.07,,,,,,,,
25,"[549, 126, 223, 288]",0.74,0.03,0.05,0.04,0.05,0.0,0.09,,,,,,,,
26,"[556, 90, 222, 298]",0.12,0.0,0.02,0.01,0.05,0.0,0.8,,,,,,,,
27,"[544, 58, 216, 263]",0.44,0.0,0.01,0.0,0.04,0.0,0.52,,,,,,,,
28,"[516, 88, 216, 269]",0.2,0.0,0.05,0.0,0.13,0.0,0.61,,,,,,,,
29,"[517, 93, 213, 271]",0.07,0.0,0.22,0.0,0.23,0.0,0.46,,,,,,,,
30,"[524, 90, 218, 276]",0.15,0.0,0.09,0.01,0.13,0.01,0.61,,,,,,,,
31,"[635, 72, 221, 280]",0.06,0.0,0.13,0.02,0.16,0.02,0.62,,,,,,,,
32,"[677, 64, 221, 296]",0.2,0.0,0.31,0.01,0.11,0.01,0.36,,,,,,,,
33,"[669, 90, 215, 279]",0.1,0.0,0.23,0.0,0.15,0.0,0.52,,,,,,,,
34,"[665, 98, 212, 281]",0.09,0.03,0.12,0.01,0.14,0.0,0.61,,,,,,,,
35,"[645, 108, 218, 283]",0.49,0.08,0.05,0.03,0.05,0.0,0.3,,,,,,,,
36,"[618, 101, 219, 279]",0.25,0.21,0.03,0.0,0.08,0.0,0.43,,,,,,,,
37,"[584, 82, 220, 280]",0.08,0.24,0.02,0.01,0.1,0.0,0.56,,,,,,,,
38,"[547, 79, 226, 285]",0.16,0.32,0.04,0.01,0.09,0.0,0.37,,,,,,,,
39,"[529, 83, 222, 281]",0.3,0.0,0.14,0.01,0.15,0.01,0.4,,,,,,,,
40,"[554, 81, 224, 283]",0.19,0.01,0.09,0.05,0.18,0.0,0.47,,,,,,,,
41,"[568, 76, 217, 281]",0.22,0.0,0.39,0.0,0.12,0.01,0.25,,,,,,,,
42,"[575, 62, 215, 272]",0.02,0.0,0.14,0.09,0.05,0.04,0.66,,,,,,,,
43,"[441, 78, 344, 434]",0.09,0.0,0.51,0.27,0.02,0.09,0.02,,,,,,,,
44,"[450, 121, 327, 417]",0.27,0.14,0.04,0.0,0.03,0.0,0.52,,,,,,,,
45,"[513, 138, 329, 422]",0.39,0.04,0.34,0.0,0.13,0.03,0.08,,,,,,,,
46,"[482, 117, 343, 459]",0.63,0.01,0.08,0.01,0.13,0.01,0.14,,,,,,,,
47,"[473, 87, 342, 466]",0.18,0.0,0.2,0.14,0.11,0.02,0.34,,,,,,,,
48,"[424, 157, 352, 456]",0.4,0.51,0.04,0.02,0.02,0.0,0.01,,,,,,,,
49,"[467, 116, 336, 437]",0.18,0.13,0.02,0.0,0.07,0.0,0.59,,,,,,,,
50,"[463, 133, 351, 449]",0.38,0.41,0.05,0.0,0.1,0.0,0.06,,,,,,,,
51,"[440, 105, 334, 424]",0.06,0.0,0.04,0.0,0.02,0.01,0.86,,,,,,,,
52,"[453, 102, 339, 438]",0.16,0.04,0.04,0.0,0.13,0.0,0.63,,,,,,,,
53,"[435, 115, 346, 451]",0.2,0.02,0.32,0.03,0.2,0.01,0.23,,,,,,,,
54,"[447, 122, 345, 456]",0.26,0.23,0.12,0.0,0.21,0.0,0.18,,,,,,,,
55,"[453, 122, 352, 456]",0.56,0.09,0.19,0.01,0.05,0.01,0.09,,,,,,,,
56,"[428, 108, 354, 455]",0.14,0.16,0.06,0.0,0.32,0.0,0.32,,,,,,,,
57,"[426, 99, 341, 443]",0.3,0.01,0.17,0.05,0.08,0.01,0.38,,,,,,,,
58,"[412, 115, 349, 441]",0.17,0.08,0.07,0.0,0.1,0.01,0.57,,,,,,,,
59,"[396, 121, 350, 458]",0.27,0.07,0.14,0.0,0.17,0.02,0.33,,,,,,,,
60,"[413, 99, 340, 447]",0.02,0.0,0.04,0.0,0.03,0.0,0.91,,,,,,,,
61,"[403, 109, 343, 462]",0.07,0.03,0.16,0.01,0.25,0.0,0.47,,,,,,,,
62,"[576, 97, 228, 304]",0.09,0.0,0.19,0.0,0.13,0.11,0.48,,,,,,,,
63,"[612, 108, 222, 292]",0.48,0.13,0.05,0.01,0.11,0.01,0.2,,,,,,,,
64,"[636, 119, 226, 297]",0.4,0.05,0.01,0.01,0.04,0.0,0.49,,,,,,,,
65,"[616, 91, 225, 293]",0.16,0.25,0.03,0.03,0.1,0.0,0.42,,,,,,,,
66,"[603, 86, 224, 298]",0.17,0.39,0.12,0.0,0.17,0.0,0.15,,,,,,,,
67,"[609, 96, 219, 278]",0.11,0.0,0.03,0.0,0.04,0.0,0.82,,,,,,,,
68,"[616, 89, 214, 272]",0.02,0.0,0.12,0.0,0.03,0.04,0.79,,,,,,,,
69,"[621, 90, 224, 290]",0.51,0.0,0.31,0.12,0.01,0.04,0.01,,,,,,,,
70,"[562, 85, 225, 286]",0.06,0.0,0.01,0.0,0.01,0.0,0.91,,,,,,,,
71,"[537, 85, 218, 286]",0.09,0.02,0.03,0.0,0.1,0.0,0.75,,,,,,,,
72,"[543, 92, 214, 284]",0.2,0.15,0.03,0.18,0.06,0.0,0.38,,,,,,,,
73,"[548, 96, 214, 274]",0.39,0.0,0.05,0.0,0.04,0.02,0.5,,,,,,,,
74,"[605, 117, 224, 289]",0.25,0.73,0.01,0.0,0.0,0.0,0.01,,,,,,,,
75,"[597, 73, 205, 269]",0.05,0.0,0.1,0.0,0.03,0.02,0.81,,,,,,,,
76,"[543, 87, 207, 255]",0.56,0.03,0.03,0.0,0.03,0.0,0.35,,,,,,,,
77,"[468, 97, 218, 285]",0.64,0.02,0.17,0.13,0.02,0.02,0.01,,,,,,,,
78,"[569, 102, 223, 289]",0.39,0.0,0.26,0.01,0.21,0.06,0.06,,,,,,,,
79,"[621, 79, 221, 291]",0.01,0.0,0.01,0.0,0.02,0.01,0.96,,,,,,,,
80,"[591, 87, 211, 272]",0.27,0.01,0.06,0.0,0.22,0.02,0.42,,,,,,,,
81,"[545, 73, 228, 305]",0.04,0.0,0.09,0.0,0.04,0.03,0.8,,,,,,,,
82,"[486, 107, 219, 276]",0.05,0.0,0.01,0.0,0.1,0.0,0.83,,,,,,,,
83,"[441, 106, 220, 292]",0.07,0.0,0.04,0.0,0.11,0.0,0.76,,,,,,,,
84,"[535, 88, 221, 290]",0.03,0.0,0.08,0.02,0.05,0.01,0.82,,,,,,,,
85,"[617, 101, 223, 287]",0.03,0.0,0.11,0.0,0.08,0.01,0.75,,,,,,,,
86,"[638, 79, 226, 307]",0.07,0.0,0.35,0.0,0.11,0.07,0.4,,,,,,,,
87,"[655, 71, 218, 288]",0.14,0.0,0.28,0.0,0.09,0.05,0.44,,,,,,,,
88,"[596, 89, 245, 321]",0.06,0.0,0.76,0.03,0.05,0.03,0.07,,,,,,,,
89,"[515, 133, 244, 298]",0.15,0.01,0.15,0.05,0.16,0.05,0.43,,,,,,,,
90,"[405, 145, 223, 271]",0.17,0.01,0.09,0.15,0.22,0.02,0.34,,,,,,,,
91,"[476, 70, 216, 286]",0.57,0.06,0.1,0.01,0.17,0.01,0.08,,,,,,,,
92,"[633, 89, 212, 279]",0.47,0.05,0.18,0.0,0.11,0.0,0.18,,,,,,,,
93,"[688, 90, 215, 284]",0.38,0.16,0.22,0.0,0.12,0.0,0.11,,,,,,,,
