,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[465, 145, 124, 156]",0.17,0.0,0.05,0.0,0.04,0.0,0.73,,,,,,,,
1,"[559, 130, 128, 165]",0.23,0.0,0.04,0.01,0.05,0.01,0.65,,,,,,,,
2,"[565, 121, 128, 168]",0.23,0.0,0.06,0.01,0.07,0.01,0.62,,,,,,,,
3,"[568, 124, 129, 167]",0.29,0.0,0.09,0.02,0.06,0.01,0.53,,,,,,,,
4,"[555, 124, 127, 165]",0.04,0.0,0.48,0.0,0.01,0.47,0.0,,,,,,,,
5,"[480, 121, 132, 170]",0.15,0.0,0.03,0.0,0.04,0.0,0.78,,,,,,,,
6,"[526, 99, 140, 185]",0.23,0.0,0.23,0.0,0.17,0.01,0.35,,,,,,,,
7,"[541, 74, 141, 185]",0.11,0.0,0.61,0.0,0.01,0.25,0.01,,,,,,,,
8,"[527, 103, 139, 180]",0.26,0.0,0.42,0.0,0.05,0.24,0.02,,,,,,,,
9,"[518, 97, 139, 181]",0.57,0.0,0.29,0.0,0.08,0.03,0.04,,,,,,,,
10,"[512, 93, 141, 187]",0.26,0.0,0.29,0.0,0.12,0.01,0.31,,,,,,,,
11,"[531, 95, 140, 189]",0.22,0.0,0.17,0.0,0.09,0.04,0.48,,,,,,,,
12,"[519, 88, 140, 184]",0.19,0.0,0.42,0.0,0.1,0.09,0.19,,,,,,,,
13,"[468, 116, 141, 192]",0.1,0.0,0.32,0.0,0.05,0.05,0.48,,,,,,,,
14,"[532, 115, 143, 181]",0.04,0.0,0.84,0.01,0.07,0.01,0.04,,,,,,,,
15,"[531, 95, 135, 180]",0.15,0.0,0.62,0.0,0.05,0.08,0.1,,,,,,,,
16,"[539, 102, 135, 179]",0.3,0.0,0.45,0.0,0.13,0.08,0.04,,,,,,,,
17,"[534, 96, 136, 180]",0.42,0.0,0.22,0.0,0.19,0.06,0.1,,,,,,,,
18,"[548, 125, 138, 181]",0.19,0.0,0.64,0.0,0.09,0.01,0.07,,,,,,,,
19,"[550, 99, 133, 176]",0.11,0.0,0.7,0.0,0.04,0.11,0.05,,,,,,,,
20,"[539, 100, 137, 181]",0.26,0.0,0.54,0.0,0.02,0.08,0.1,,,,,,,,
21,"[521, 87, 135, 177]",0.14,0.0,0.58,0.0,0.01,0.24,0.03,,,,,,,,
22,"[495, 107, 143, 185]",0.26,0.0,0.08,0.0,0.13,0.03,0.5,,,,,,,,
23,"[531, 92, 142, 186]",0.33,0.0,0.46,0.0,0.07,0.08,0.06,,,,,,,,
