,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
0,"[607, 330, 44, 56]",0.03,0.0,0.0,0.06,0.05,0.0,0.84,"[842, 358, 36, 46]",0.29,0.0,0.02,0.12,0.17,0.0,0.39,"[292, 349, 49, 67]",0.16,0.0,0.0,0.21,0.36,0.0,0.27,"[1081, 377, 37, 46]",0.05,0.0,0.01,0.2,0.04,0.0,0.69,,,,,,,,
1,"[850, 361, 37, 47]",0.11,0.0,0.01,0.23,0.08,0.01,0.56,"[251, 344, 44, 61]",0.05,0.0,0.05,0.18,0.24,0.01,0.47,"[1074, 363, 41, 52]",0.02,0.0,0.01,0.17,0.03,0.0,0.76,"[622, 343, 45, 61]",0.43,0.0,0.01,0.03,0.09,0.01,0.44,,,,,,,,
2,"[852, 360, 35, 46]",0.07,0.0,0.01,0.66,0.05,0.0,0.21,"[272, 347, 46, 63]",0.07,0.0,0.0,0.73,0.02,0.0,0.18,"[599, 334, 44, 58]",0.37,0.0,0.02,0.15,0.07,0.0,0.39,,,,,,,,,,,,,,,,
3,"[851, 362, 36, 45]",0.14,0.0,0.01,0.14,0.13,0.0,0.58,"[1076, 358, 41, 50]",0.02,0.0,0.01,0.27,0.03,0.0,0.66,"[266, 349, 47, 62]",0.07,0.0,0.02,0.25,0.09,0.0,0.56,"[609, 337, 44, 56]",0.08,0.0,0.0,0.01,0.04,0.0,0.87,,,,,,,,
4,"[850, 363, 37, 45]",0.33,0.0,0.01,0.07,0.14,0.01,0.45,"[1072, 363, 41, 51]",0.02,0.0,0.01,0.29,0.06,0.0,0.62,"[262, 345, 47, 64]",0.03,0.0,0.01,0.06,0.11,0.0,0.79,"[607, 330, 46, 57]",0.05,0.0,0.07,0.22,0.05,0.03,0.58,,,,,,,,
5,"[560, 89, 162, 208]",0.02,0.0,0.13,0.03,0.05,0.68,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[539, 92, 163, 210]",0.11,0.0,0.09,0.02,0.15,0.08,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[501, 64, 151, 199]",0.15,0.0,0.03,0.05,0.14,0.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[592, 112, 154, 200]",0.14,0.0,0.12,0.4,0.02,0.06,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[503, 88, 160, 199]",0.34,0.0,0.03,0.01,0.08,0.01,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[534, 24, 161, 203]",0.1,0.0,0.5,0.0,0.11,0.16,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[505, 95, 154, 195]",0.21,0.0,0.14,0.02,0.08,0.16,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[546, 91, 156, 201]",0.05,0.0,0.04,0.11,0.02,0.1,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[500, 76, 160, 202]",0.07,0.0,0.15,0.38,0.05,0.02,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[594, 78, 163, 206]",0.0,0.0,0.0,0.98,0.0,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[844, 365, 37, 46]",0.05,0.0,0.01,0.52,0.08,0.0,0.34,"[1062, 371, 39, 49]",0.02,0.0,0.03,0.1,0.11,0.0,0.74,"[615, 322, 45, 58]",0.11,0.0,0.09,0.13,0.12,0.38,0.17,"[263, 346, 46, 64]",0.08,0.0,0.0,0.06,0.3,0.0,0.56,"[577, 456, 25, 26]",0.05,0.0,0.03,0.11,0.66,0.05,0.08
16,"[844, 361, 37, 48]",0.05,0.0,0.02,0.16,0.05,0.01,0.72,"[253, 339, 45, 64]",0.59,0.0,0.01,0.01,0.12,0.01,0.27,"[1068, 368, 38, 48]",0.01,0.0,0.08,0.09,0.21,0.0,0.6,"[600, 326, 43, 60]",0.04,0.0,0.53,0.03,0.27,0.08,0.06,,,,,,,,
17,"[845, 360, 35, 47]",0.09,0.0,0.01,0.16,0.15,0.0,0.6,"[253, 339, 47, 65]",0.65,0.0,0.0,0.01,0.1,0.02,0.21,"[601, 326, 45, 57]",0.06,0.0,0.23,0.33,0.16,0.09,0.13,"[1068, 368, 39, 49]",0.02,0.0,0.02,0.11,0.11,0.01,0.74,"[578, 455, 23, 26]",0.07,0.0,0.02,0.39,0.35,0.07,0.09
18,"[482, 117, 154, 196]",0.16,0.02,0.14,0.17,0.06,0.18,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[614, 81, 147, 200]",0.09,0.0,0.13,0.34,0.04,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[511, 84, 157, 200]",0.22,0.0,0.06,0.02,0.05,0.03,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[503, 85, 157, 197]",0.09,0.0,0.11,0.62,0.09,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[477, 107, 163, 203]",0.1,0.0,0.08,0.15,0.03,0.02,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[491, 96, 161, 202]",0.18,0.0,0.02,0.01,0.09,0.04,0.66,"[376, 596, 105, 138]",0.04,0.0,0.02,0.07,0.26,0.05,0.56,,,,,,,,,,,,,,,,,,,,,,,,
24,"[527, 111, 163, 203]",0.03,0.0,0.03,0.35,0.02,0.24,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[534, 122, 163, 193]",0.04,0.0,0.06,0.63,0.06,0.1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[511, 112, 161, 199]",0.03,0.0,0.03,0.11,0.06,0.01,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[501, 108, 160, 199]",0.37,0.0,0.03,0.0,0.13,0.03,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[548, 77, 154, 196]",0.03,0.0,0.18,0.09,0.11,0.02,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[523, 75, 158, 195]",0.03,0.0,0.15,0.03,0.19,0.02,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"[506, 83, 151, 195]",0.0,0.0,0.01,0.96,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"[625, 57, 162, 218]",0.23,0.0,0.11,0.3,0.06,0.12,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"[622, 79, 164, 206]",0.04,0.0,0.01,0.12,0.03,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[486, 101, 155, 209]",0.46,0.0,0.03,0.21,0.05,0.05,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[553, 63, 160, 195]",0.02,0.0,0.33,0.01,0.16,0.14,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"[591, 87, 158, 201]",0.07,0.0,0.14,0.01,0.09,0.31,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[545, 73, 157, 200]",0.03,0.0,0.13,0.02,0.08,0.03,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[536, 71, 163, 209]",0.09,0.0,0.15,0.09,0.05,0.03,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[615, 103, 159, 208]",0.32,0.0,0.01,0.01,0.04,0.01,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[492, 81, 162, 199]",0.04,0.0,0.08,0.19,0.11,0.02,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[554, 95, 156, 199]",0.11,0.0,0.25,0.03,0.07,0.28,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[609, 75, 160, 198]",0.03,0.0,0.28,0.01,0.21,0.07,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[493, 116, 164, 197]",0.04,0.01,0.15,0.21,0.36,0.06,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[516, 106, 151, 200]",0.19,0.0,0.12,0.26,0.06,0.21,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[486, 103, 159, 198]",0.01,0.0,0.01,0.95,0.01,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[626, 100, 154, 193]",0.02,0.0,0.03,0.42,0.02,0.03,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[482, 85, 158, 195]",0.04,0.0,0.02,0.02,0.09,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[557, 84, 159, 199]",0.08,0.0,0.05,0.26,0.08,0.02,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[511, 103, 160, 203]",0.1,0.0,0.04,0.29,0.02,0.05,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"[511, 118, 159, 205]",0.24,0.01,0.12,0.34,0.07,0.07,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[508, 107, 155, 205]",0.08,0.0,0.16,0.15,0.03,0.57,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[848, 356, 37, 50]",0.04,0.0,0.11,0.02,0.14,0.02,0.68,"[1061, 371, 39, 49]",0.06,0.0,0.02,0.18,0.09,0.0,0.66,"[618, 335, 47, 62]",0.08,0.0,0.11,0.04,0.31,0.08,0.38,"[283, 351, 47, 62]",0.16,0.0,0.02,0.02,0.18,0.04,0.58,"[576, 456, 23, 26]",0.11,0.0,0.02,0.14,0.47,0.02,0.24
52,"[252, 352, 46, 61]",0.01,0.0,0.01,0.05,0.3,0.0,0.62,"[1062, 373, 39, 47]",0.02,0.0,0.01,0.22,0.03,0.0,0.71,"[856, 361, 37, 48]",0.12,0.0,0.02,0.09,0.11,0.01,0.64,"[606, 334, 45, 60]",0.16,0.0,0.0,0.0,0.03,0.0,0.81,,,,,,,,
53,"[617, 321, 43, 56]",0.07,0.0,0.06,0.01,0.19,0.17,0.5,"[1064, 374, 38, 46]",0.0,0.0,0.0,0.48,0.0,0.0,0.5,"[852, 360, 37, 46]",0.06,0.0,0.0,0.02,0.06,0.0,0.86,"[245, 359, 45, 60]",0.02,0.0,0.02,0.01,0.19,0.02,0.74,,,,,,,,
