,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[569, 78, 134, 172]",0.02,0.0,0.01,0.01,0.01,0.0,0.95
1,"[571, 83, 130, 165]",0.2,0.0,0.13,0.01,0.18,0.03,0.46
2,"[567, 83, 133, 178]",0.06,0.0,0.01,0.19,0.01,0.0,0.71
3,"[569, 77, 135, 176]",0.02,0.0,0.05,0.09,0.01,0.04,0.77
4,"[569, 78, 135, 170]",0.03,0.0,0.02,0.25,0.03,0.0,0.67
5,"[569, 79, 132, 172]",0.04,0.0,0.05,0.01,0.02,0.02,0.85
6,"[565, 68, 141, 186]",0.02,0.0,0.09,0.04,0.02,0.02,0.8
7,"[567, 82, 143, 185]",0.05,0.0,0.16,0.01,0.05,0.09,0.64
8,"[564, 78, 144, 181]",0.04,0.0,0.11,0.04,0.03,0.04,0.74
9,"[570, 83, 135, 181]",0.03,0.0,0.02,0.07,0.01,0.0,0.86
10,"[566, 89, 139, 180]",0.12,0.0,0.03,0.01,0.05,0.0,0.79
11,"[562, 95, 134, 177]",0.16,0.0,0.01,0.05,0.03,0.0,0.74
12,"[578, 80, 134, 177]",0.04,0.0,0.02,0.01,0.02,0.0,0.91
13,"[562, 65, 146, 186]",0.02,0.0,0.09,0.01,0.02,0.02,0.83
14,"[570, 78, 142, 180]",0.02,0.0,0.04,0.04,0.02,0.02,0.86
15,"[569, 71, 136, 172]",0.02,0.0,0.03,0.04,0.03,0.01,0.86
16,"[567, 76, 141, 179]",0.03,0.0,0.03,0.09,0.02,0.02,0.83
17,"[571, 78, 139, 177]",0.04,0.0,0.02,0.05,0.05,0.0,0.83
18,"[564, 70, 145, 189]",0.11,0.0,0.2,0.1,0.04,0.15,0.39
19,"[573, 63, 139, 186]",0.02,0.0,0.16,0.0,0.04,0.18,0.6
20,"[576, 77, 136, 172]",0.05,0.0,0.02,0.03,0.05,0.01,0.84
21,"[582, 75, 138, 174]",0.05,0.0,0.14,0.04,0.03,0.02,0.72
22,"[572, 74, 140, 175]",0.04,0.0,0.03,0.05,0.01,0.03,0.84
23,"[574, 69, 135, 180]",0.02,0.0,0.1,0.01,0.04,0.03,0.8
24,"[575, 80, 138, 180]",0.04,0.0,0.01,0.06,0.01,0.0,0.87
25,"[565, 81, 143, 185]",0.08,0.0,0.08,0.04,0.01,0.03,0.76
26,"[581, 79, 132, 176]",0.04,0.0,0.08,0.02,0.02,0.09,0.75
27,"[569, 83, 140, 181]",0.1,0.0,0.03,0.01,0.02,0.02,0.82
28,"[568, 68, 142, 190]",0.06,0.0,0.26,0.03,0.03,0.31,0.3
29,"[570, 80, 141, 181]",0.06,0.0,0.09,0.01,0.04,0.05,0.75
30,"[567, 83, 142, 180]",0.16,0.0,0.06,0.0,0.14,0.02,0.61
31,"[580, 77, 138, 183]",0.11,0.0,0.13,0.01,0.11,0.0,0.64
32,"[561, 79, 132, 172]",0.02,0.0,0.04,0.01,0.02,0.02,0.89
33,"[568, 88, 123, 162]",0.04,0.0,0.03,0.0,0.03,0.01,0.9
34,"[568, 79, 132, 168]",0.02,0.0,0.03,0.04,0.01,0.01,0.9
35,"[566, 93, 128, 168]",0.13,0.0,0.06,0.01,0.04,0.03,0.73
36,"[570, 76, 132, 169]",0.04,0.0,0.09,0.02,0.03,0.11,0.71
37,"[573, 86, 124, 160]",0.02,0.0,0.01,0.06,0.01,0.0,0.89
38,"[568, 85, 128, 166]",0.07,0.0,0.05,0.08,0.03,0.02,0.75
39,"[567, 77, 130, 167]",0.02,0.0,0.1,0.01,0.02,0.03,0.81
40,"[569, 87, 124, 168]",0.03,0.0,0.02,0.07,0.01,0.01,0.87
41,"[569, 77, 129, 168]",0.02,0.0,0.03,0.0,0.02,0.01,0.92
42,"[567, 79, 129, 166]",0.03,0.0,0.02,0.01,0.02,0.01,0.91
