,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9
0,"[762, 414, 21, 29]",0.12,0.0,0.2,0.02,0.39,0.01,0.25,"[1162, 421, 20, 27]",0.1,0.01,0.15,0.15,0.17,0.32,0.1,"[548, 412, 22, 30]",0.16,0.0,0.58,0.01,0.13,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[404, 405, 25, 33]",0.02,0.0,0.09,0.06,0.24,0.06,0.53,"[520, 413, 21, 27]",0.27,0.0,0.49,0.0,0.18,0.03,0.03,"[1160, 419, 21, 28]",0.04,0.0,0.1,0.16,0.24,0.21,0.25,"[886, 420, 22, 30]",0.13,0.0,0.27,0.01,0.39,0.08,0.1,"[759, 414, 19, 28]",0.34,0.0,0.29,0.08,0.21,0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[407, 406, 24, 31]",0.07,0.0,0.02,0.5,0.2,0.01,0.2,"[517, 414, 23, 29]",0.34,0.0,0.35,0.01,0.19,0.03,0.08,"[765, 409, 22, 28]",0.26,0.0,0.02,0.1,0.07,0.04,0.5,"[888, 408, 23, 30]",0.17,0.0,0.04,0.6,0.09,0.01,0.09,"[637, 412, 21, 27]",0.28,0.0,0.48,0.05,0.11,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[402, 420, 25, 31]",0.05,0.0,0.08,0.13,0.28,0.01,0.46,"[519, 415, 22, 28]",0.19,0.0,0.28,0.02,0.21,0.05,0.23,"[762, 412, 22, 27]",0.4,0.0,0.04,0.04,0.08,0.19,0.26,"[643, 409, 25, 31]",0.34,0.0,0.25,0.05,0.27,0.05,0.02,"[1008, 413, 23, 28]",0.54,0.0,0.12,0.13,0.14,0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[632, 169, 144, 201]",0.11,0.0,0.39,0.1,0.1,0.03,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[606, 209, 143, 183]",0.13,0.0,0.25,0.01,0.26,0.01,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[628, 169, 150, 192]",0.44,0.01,0.14,0.03,0.2,0.02,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[625, 155, 144, 208]",0.14,0.0,0.05,0.53,0.01,0.09,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[633, 139, 142, 198]",0.18,0.0,0.21,0.09,0.07,0.06,0.38,"[245, 564, 25, 32]",0.05,0.0,0.02,0.08,0.57,0.01,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[645, 114, 147, 210]",0.12,0.0,0.17,0.23,0.07,0.01,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[606, 124, 154, 193]",0.06,0.0,0.41,0.02,0.21,0.09,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[653, 118, 143, 192]",0.05,0.0,0.27,0.01,0.1,0.07,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[630, 116, 146, 207]",0.03,0.0,0.04,0.12,0.05,0.01,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[1151, 406, 22, 29]",0.14,0.02,0.07,0.04,0.53,0.05,0.15,"[765, 410, 22, 27]",0.26,0.0,0.02,0.33,0.04,0.13,0.22,"[880, 415, 26, 31]",0.59,0.01,0.07,0.1,0.19,0.01,0.04,"[148, 416, 23, 30]",0.69,0.01,0.16,0.04,0.08,0.0,0.02,"[640, 404, 24, 34]",0.6,0.0,0.19,0.03,0.13,0.01,0.05,"[1005, 411, 25, 31]",0.37,0.0,0.15,0.09,0.25,0.01,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[764, 412, 22, 27]",0.19,0.0,0.01,0.17,0.02,0.25,0.36,"[883, 410, 24, 31]",0.15,0.01,0.1,0.29,0.35,0.03,0.07,"[1166, 421, 21, 26]",0.07,0.0,0.16,0.01,0.7,0.01,0.06,"[272, 415, 26, 34]",0.15,0.0,0.09,0.47,0.16,0.01,0.13,"[645, 409, 22, 31]",0.66,0.0,0.1,0.03,0.08,0.03,0.1,"[1006, 411, 24, 30]",0.38,0.0,0.18,0.06,0.28,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[764, 411, 22, 28]",0.29,0.0,0.01,0.23,0.02,0.06,0.38,"[885, 410, 25, 33]",0.16,0.0,0.15,0.27,0.21,0.03,0.19,"[1162, 421, 20, 28]",0.17,0.01,0.11,0.06,0.26,0.25,0.14,"[1011, 410, 25, 30]",0.43,0.0,0.16,0.04,0.3,0.0,0.07,"[272, 421, 26, 33]",0.34,0.0,0.16,0.14,0.3,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[765, 412, 22, 27]",0.47,0.0,0.02,0.1,0.07,0.07,0.28,"[882, 415, 25, 31]",0.32,0.01,0.05,0.15,0.38,0.0,0.09,"[1162, 421, 21, 28]",0.18,0.0,0.18,0.02,0.29,0.2,0.12,"[150, 416, 23, 27]",0.49,0.0,0.08,0.18,0.17,0.0,0.07,"[31, 416, 26, 31]",0.17,0.0,0.12,0.12,0.18,0.01,0.39,"[641, 408, 23, 33]",0.55,0.0,0.13,0.08,0.18,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
