,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8
0,"[1015, 409, 27, 33]",0.51,0.0,0.09,0.08,0.18,0.0,0.14,"[763, 414, 20, 29]",0.15,0.0,0.3,0.03,0.35,0.01,0.15,"[1162, 419, 20, 29]",0.1,0.01,0.1,0.15,0.2,0.22,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[521, 418, 22, 29]",0.24,0.0,0.27,0.12,0.19,0.07,0.12,"[764, 413, 21, 28]",0.17,0.0,0.15,0.03,0.2,0.01,0.44,"[1162, 423, 20, 25]",0.23,0.01,0.13,0.05,0.17,0.37,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[887, 419, 23, 30]",0.1,0.02,0.29,0.01,0.34,0.12,0.11,"[520, 415, 21, 28]",0.55,0.0,0.26,0.0,0.1,0.06,0.03,"[758, 414, 20, 28]",0.23,0.0,0.36,0.16,0.18,0.01,0.07,"[1159, 417, 20, 27]",0.11,0.0,0.12,0.07,0.23,0.11,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[888, 410, 23, 32]",0.19,0.0,0.16,0.11,0.38,0.01,0.14,"[637, 408, 23, 29]",0.62,0.0,0.14,0.05,0.16,0.0,0.04,"[760, 413, 22, 31]",0.19,0.0,0.46,0.14,0.11,0.01,0.08,"[518, 415, 22, 29]",0.29,0.0,0.41,0.05,0.1,0.06,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[882, 410, 25, 33]",0.36,0.01,0.09,0.19,0.29,0.01,0.05,"[402, 415, 26, 30]",0.15,0.0,0.09,0.11,0.31,0.06,0.29,"[765, 410, 23, 28]",0.56,0.0,0.03,0.03,0.06,0.07,0.24,"[519, 415, 22, 29]",0.28,0.0,0.37,0.05,0.14,0.04,0.13,"[1143, 412, 20, 29]",0.16,0.0,0.04,0.05,0.58,0.0,0.16,"[639, 415, 21, 27]",0.54,0.0,0.27,0.02,0.13,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,
5,"[1008, 413, 25, 30]",0.37,0.0,0.23,0.06,0.23,0.01,0.1,"[403, 420, 24, 30]",0.09,0.0,0.12,0.02,0.6,0.0,0.17,"[518, 415, 23, 29]",0.22,0.0,0.45,0.02,0.13,0.03,0.15,"[641, 412, 23, 29]",0.53,0.0,0.21,0.05,0.16,0.03,0.02,"[1144, 412, 19, 29]",0.17,0.01,0.03,0.06,0.59,0.0,0.14,"[765, 412, 20, 26]",0.36,0.0,0.02,0.03,0.08,0.19,0.32,,,,,,,,,,,,,,,,,,,,,,,,
6,"[402, 421, 27, 32]",0.06,0.0,0.11,0.02,0.6,0.01,0.2,"[643, 410, 24, 30]",0.37,0.0,0.37,0.03,0.13,0.04,0.07,"[520, 415, 21, 28]",0.18,0.0,0.45,0.01,0.16,0.02,0.17,"[761, 413, 21, 28]",0.58,0.0,0.08,0.1,0.11,0.01,0.13,"[1144, 413, 20, 28]",0.2,0.02,0.03,0.06,0.53,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[624, 169, 148, 206]",0.09,0.0,0.38,0.28,0.03,0.06,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[636, 187, 145, 189]",0.29,0.0,0.32,0.06,0.11,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[653, 190, 141, 180]",0.13,0.0,0.14,0.07,0.11,0.01,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
