,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17,box18,angry18,disgust18,fear18,happy18,sad18,surprise18,neutral18,box19,angry19,disgust19,fear19,happy19,sad19,surprise19,neutral19,box20,angry20,disgust20,fear20,happy20,sad20,surprise20,neutral20,box21,angry21,disgust21,fear21,happy21,sad21,surprise21,neutral21,box22,angry22,disgust22,fear22,happy22,sad22,surprise22,neutral22,box23,angry23,disgust23,fear23,happy23,sad23,surprise23,neutral23,box24,angry24,disgust24,fear24,happy24,sad24,surprise24,neutral24,box25,angry25,disgust25,fear25,happy25,sad25,surprise25,neutral25,box26,angry26,disgust26,fear26,happy26,sad26,surprise26,neutral26,box27,angry27,disgust27,fear27,happy27,sad27,surprise27,neutral27,box28,angry28,disgust28,fear28,happy28,sad28,surprise28,neutral28,box29,angry29,disgust29,fear29,happy29,sad29,surprise29,neutral29,box30,angry30,disgust30,fear30,happy30,sad30,surprise30,neutral30,box31,angry31,disgust31,fear31,happy31,sad31,surprise31,neutral31,box32,angry32,disgust32,fear32,happy32,sad32,surprise32,neutral32,box33,angry33,disgust33,fear33,happy33,sad33,surprise33,neutral33,box34,angry34,disgust34,fear34,happy34,sad34,surprise34,neutral34,box35,angry35,disgust35,fear35,happy35,sad35,surprise35,neutral35,box36,angry36,disgust36,fear36,happy36,sad36,surprise36,neutral36,box37,angry37,disgust37,fear37,happy37,sad37,surprise37,neutral37
0,"[898, 18, 36, 43]",0.31,0.0,0.04,0.0,0.56,0.0,0.09,"[327, 15, 37, 47]",0.15,0.0,0.01,0.09,0.5,0.0,0.24,"[165, 174, 36, 40]",0.17,0.0,0.02,0.41,0.12,0.2,0.08,"[751, 23, 35, 42]",0.54,0.0,0.01,0.08,0.08,0.0,0.28,"[336, 185, 35, 41]",0.4,0.0,0.12,0.05,0.26,0.0,0.17,"[762, 83, 35, 41]",0.4,0.0,0.04,0.01,0.28,0.01,0.25,"[182, 102, 32, 38]",0.13,0.0,0.02,0.01,0.33,0.0,0.5,"[305, 101, 37, 41]",0.16,0.0,0.08,0.07,0.51,0.03,0.15,"[621, 125, 46, 54]",0.22,0.0,0.06,0.39,0.08,0.04,0.2,"[747, 179, 38, 44]",0.23,0.01,0.18,0.03,0.21,0.03,0.32,"[1017, 56, 39, 49]",0.13,0.0,0.04,0.34,0.41,0.03,0.05,"[873, 206, 38, 41]",0.01,0.0,0.02,0.04,0.05,0.01,0.87,"[884, 113, 39, 40]",0.08,0.0,0.0,0.24,0.04,0.0,0.62,"[1014, 106, 36, 43]",0.01,0.0,0.02,0.01,0.04,0.01,0.92,"[1130, 77, 45, 56]",0.51,0.0,0.01,0.07,0.23,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[99, 127, 46, 53]",0.54,0.0,0.11,0.02,0.21,0.03,0.08,"[289, 49, 44, 48]",0.07,0.0,0.25,0.03,0.49,0.0,0.17,"[299, 147, 40, 51]",0.56,0.0,0.06,0.05,0.18,0.01,0.13,"[610, 99, 54, 62]",0.08,0.0,0.01,0.66,0.17,0.0,0.08,"[796, 147, 46, 53]",0.47,0.0,0.1,0.0,0.33,0.01,0.08,"[1117, 50, 48, 53]",0.03,0.0,0.13,0.01,0.19,0.06,0.58,"[953, 175, 44, 47]",0.01,0.0,0.03,0.06,0.08,0.01,0.82,"[813, 30, 43, 50]",0.39,0.0,0.01,0.0,0.21,0.0,0.38,"[963, 58, 46, 52]",0.02,0.0,0.01,0.38,0.02,0.01,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[49, 119, 47, 52]",0.41,0.01,0.03,0.09,0.28,0.02,0.16,"[279, 137, 43, 52]",0.49,0.0,0.03,0.01,0.14,0.0,0.33,"[649, 98, 55, 65]",0.12,0.0,0.02,0.25,0.52,0.01,0.08,"[261, 28, 43, 49]",0.03,0.0,0.01,0.83,0.04,0.01,0.08,"[67, 27, 45, 55]",0.27,0.03,0.09,0.04,0.38,0.09,0.1,"[1162, 36, 48, 55]",0.02,0.0,0.06,0.0,0.13,0.2,0.59,"[1000, 43, 49, 54]",0.02,0.0,0.0,0.19,0.02,0.01,0.76,"[981, 164, 47, 52]",0.04,0.0,0.08,0.15,0.39,0.04,0.3,"[833, 6, 46, 52]",0.65,0.0,0.05,0.05,0.1,0.01,0.14,"[833, 129, 53, 64]",0.18,0.01,0.48,0.04,0.13,0.07,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[205, 31, 45, 50]",0.22,0.01,0.13,0.11,0.44,0.01,0.09,"[781, 132, 53, 63]",0.09,0.0,0.06,0.05,0.08,0.07,0.64,"[31, 28, 40, 51]",0.2,0.0,0.03,0.03,0.56,0.02,0.17,"[241, 133, 46, 57]",0.27,0.0,0.03,0.08,0.27,0.01,0.33,"[946, 164, 48, 52]",0.01,0.0,0.07,0.03,0.25,0.04,0.61,"[1122, 33, 52, 59]",0.0,0.0,0.01,0.01,0.01,0.02,0.95,"[794, 6, 49, 56]",0.53,0.0,0.03,0.02,0.28,0.02,0.12,"[592, 59, 58, 70]",0.23,0.0,0.08,0.4,0.14,0.01,0.14,"[961, 42, 52, 57]",0.02,0.0,0.0,0.15,0.01,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[193, 31, 48, 54]",0.07,0.0,0.19,0.13,0.37,0.08,0.15,"[921, 170, 44, 53]",0.0,0.0,0.01,0.04,0.1,0.01,0.84,"[936, 48, 48, 53]",0.01,0.0,0.0,0.01,0.01,0.0,0.97,"[221, 150, 45, 55]",0.04,0.0,0.2,0.03,0.32,0.29,0.11,"[1095, 40, 49, 56]",0.05,0.0,0.05,0.02,0.11,0.04,0.74,"[34, 54, 58, 68]",0.32,0.0,0.04,0.44,0.06,0.05,0.07,"[758, 137, 50, 61]",0.22,0.0,0.23,0.09,0.13,0.16,0.17,"[767, 11, 46, 55]",0.24,0.0,0.03,0.02,0.18,0.0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[222, 29, 45, 52]",0.28,0.0,0.03,0.26,0.38,0.02,0.02,"[629, 70, 59, 71]",0.43,0.0,0.01,0.02,0.12,0.0,0.42,"[790, 136, 50, 59]",0.27,0.0,0.13,0.18,0.04,0.32,0.07,"[954, 45, 50, 53]",0.01,0.0,0.0,0.04,0.01,0.01,0.94,"[239, 149, 44, 55]",0.13,0.0,0.14,0.02,0.26,0.21,0.24,"[1113, 38, 50, 57]",0.02,0.0,0.2,0.0,0.24,0.03,0.51,"[937, 166, 46, 53]",0.01,0.0,0.02,0.63,0.07,0.01,0.26,"[787, 11, 44, 51]",0.47,0.0,0.04,0.02,0.16,0.02,0.28,"[39, 33, 58, 68]",0.48,0.0,0.01,0.17,0.12,0.0,0.22,"[7, 130, 39, 52]",0.12,0.0,0.09,0.33,0.25,0.07,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[207, 36, 49, 52]",0.04,0.0,0.09,0.02,0.36,0.0,0.49,"[593, 58, 60, 77]",0.37,0.01,0.18,0.07,0.13,0.17,0.07,"[936, 165, 47, 53]",0.0,0.0,0.01,0.47,0.04,0.0,0.47,"[18, 32, 40, 49]",0.26,0.0,0.08,0.1,0.37,0.04,0.15,"[953, 45, 49, 55]",0.02,0.0,0.0,0.18,0.02,0.0,0.77,"[237, 148, 45, 55]",0.07,0.0,0.27,0.01,0.57,0.03,0.05,"[21, 130, 40, 49]",0.19,0.0,0.29,0.01,0.45,0.01,0.04,"[1113, 37, 49, 55]",0.05,0.0,0.17,0.01,0.26,0.04,0.46,"[786, 8, 45, 56]",0.17,0.0,0.03,0.01,0.05,0.71,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[226, 32, 49, 55]",0.1,0.0,0.08,0.04,0.71,0.02,0.03,"[561, 96, 54, 64]",0.19,0.0,0.02,0.47,0.16,0.0,0.15,"[944, 170, 47, 54]",0.07,0.0,0.04,0.17,0.13,0.0,0.57,"[2, 36, 45, 52]",0.61,0.0,0.03,0.02,0.28,0.0,0.06,"[4, 130, 46, 55]",0.13,0.0,0.05,0.26,0.41,0.03,0.11,"[779, 14, 47, 52]",0.17,0.0,0.02,0.02,0.1,0.0,0.68,"[229, 146, 45, 55]",0.49,0.0,0.16,0.01,0.08,0.02,0.24,"[1109, 41, 48, 55]",0.06,0.0,0.2,0.01,0.34,0.03,0.37,"[947, 48, 49, 56]",0.04,0.0,0.0,0.3,0.02,0.0,0.63,"[782, 134, 52, 65]",0.32,0.0,0.11,0.16,0.23,0.03,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[4, 129, 46, 52]",0.25,0.0,0.07,0.03,0.59,0.02,0.04,"[622, 63, 59, 71]",0.57,0.01,0.02,0.03,0.2,0.0,0.18,"[194, 26, 46, 54]",0.06,0.0,0.01,0.85,0.05,0.02,0.01,"[933, 166, 46, 53]",0.01,0.0,0.02,0.47,0.07,0.0,0.43,"[226, 143, 43, 53]",0.6,0.0,0.09,0.06,0.08,0.01,0.15,"[568, 84, 49, 55]",0.02,0.0,0.04,0.11,0.25,0.02,0.57,"[7, 35, 42, 47]",0.23,0.0,0.08,0.13,0.39,0.01,0.16,"[1106, 39, 48, 55]",0.05,0.0,0.06,0.04,0.16,0.03,0.67,"[780, 133, 51, 62]",0.45,0.0,0.2,0.04,0.18,0.1,0.02,"[779, 9, 48, 56]",0.45,0.0,0.05,0.02,0.18,0.01,0.29,"[946, 45, 49, 55]",0.02,0.0,0.0,0.23,0.01,0.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[208, 31, 47, 50]",0.09,0.0,0.12,0.15,0.53,0.01,0.09,"[931, 161, 48, 55]",0.0,0.0,0.01,0.64,0.03,0.0,0.32,"[3, 126, 46, 53]",0.22,0.0,0.05,0.08,0.51,0.02,0.12,"[1106, 38, 46, 51]",0.11,0.0,0.06,0.01,0.53,0.01,0.28,"[946, 42, 46, 54]",0.06,0.0,0.01,0.05,0.04,0.0,0.85,"[598, 54, 65, 79]",0.04,0.0,0.0,0.86,0.04,0.01,0.05,"[225, 139, 45, 54]",0.44,0.0,0.06,0.06,0.11,0.02,0.31,"[778, 130, 49, 58]",0.15,0.01,0.05,0.49,0.07,0.11,0.13,"[779, 8, 46, 56]",0.32,0.0,0.08,0.02,0.17,0.01,0.39,"[1244, 23, 34, 45]",0.22,0.0,0.12,0.06,0.4,0.12,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
