,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13
0,"[312, 59, 58, 72]",0.83,0.0,0.09,0.01,0.03,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[322, 60, 54, 68]",0.76,0.0,0.03,0.15,0.03,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[335, 53, 55, 67]",0.14,0.0,0.26,0.04,0.07,0.3,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[330, 60, 53, 64]",0.54,0.0,0.01,0.01,0.02,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[327, 61, 52, 62]",0.28,0.0,0.01,0.01,0.2,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[345, 62, 54, 65]",0.58,0.0,0.01,0.01,0.02,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[287, 101, 26, 36]",0.12,0.0,0.05,0.05,0.06,0.0,0.71,"[458, 143, 26, 33]",0.64,0.0,0.12,0.15,0.07,0.0,0.01,"[445, 99, 19, 28]",0.2,0.0,0.04,0.1,0.34,0.0,0.31,"[372, 76, 20, 24]",0.29,0.0,0.06,0.13,0.45,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[287, 101, 27, 37]",0.08,0.0,0.05,0.24,0.04,0.0,0.59,"[371, 77, 21, 25]",0.08,0.0,0.06,0.31,0.34,0.0,0.21,"[557, 103, 20, 25]",0.22,0.01,0.36,0.1,0.2,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[287, 101, 27, 38]",0.11,0.0,0.06,0.18,0.04,0.0,0.6,"[226, 110, 25, 34]",0.25,0.0,0.2,0.13,0.34,0.04,0.06,"[482, 89, 23, 30]",0.2,0.0,0.08,0.03,0.27,0.02,0.4,"[371, 77, 21, 25]",0.16,0.0,0.03,0.25,0.36,0.01,0.18,"[57, 94, 21, 23]",0.57,0.0,0.01,0.05,0.2,0.01,0.16,"[2, 75, 18, 20]",0.02,0.0,0.02,0.6,0.32,0.0,0.04,"[112, 46, 16, 20]",0.25,0.0,0.02,0.39,0.19,0.0,0.15,"[563, 14, 13, 16]",0.21,0.0,0.13,0.12,0.13,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[288, 101, 26, 36]",0.15,0.0,0.05,0.06,0.07,0.0,0.66,"[555, 101, 21, 26]",0.44,0.0,0.28,0.09,0.14,0.02,0.03,"[57, 95, 21, 24]",0.59,0.0,0.02,0.09,0.13,0.01,0.17,"[371, 78, 20, 24]",0.19,0.0,0.04,0.15,0.5,0.01,0.13,"[0, 73, 20, 24]",0.07,0.0,0.03,0.55,0.22,0.0,0.13,"[112, 46, 16, 19]",0.2,0.0,0.02,0.26,0.32,0.0,0.2,"[564, 14, 13, 16]",0.09,0.0,0.08,0.16,0.11,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
