,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17,box18,angry18,disgust18,fear18,happy18,sad18,surprise18,neutral18,box19,angry19,disgust19,fear19,happy19,sad19,surprise19,neutral19,box20,angry20,disgust20,fear20,happy20,sad20,surprise20,neutral20,box21,angry21,disgust21,fear21,happy21,sad21,surprise21,neutral21,box22,angry22,disgust22,fear22,happy22,sad22,surprise22,neutral22,box23,angry23,disgust23,fear23,happy23,sad23,surprise23,neutral23,box24,angry24,disgust24,fear24,happy24,sad24,surprise24,neutral24
0,"[247, 556, 50, 64]",0.48,0.0,0.04,0.04,0.37,0.01,0.05,"[103, 298, 49, 62]",0.15,0.01,0.05,0.01,0.36,0.01,0.42,"[282, 293, 49, 60]",0.16,0.0,0.02,0.04,0.19,0.03,0.57,"[356, 463, 46, 55]",0.12,0.0,0.04,0.04,0.26,0.04,0.49,"[1109, 315, 42, 57]",0.11,0.0,0.15,0.02,0.25,0.01,0.46,"[605, 320, 48, 52]",0.29,0.0,0.06,0.27,0.07,0.03,0.27,"[42, 595, 53, 67]",0.35,0.01,0.07,0.02,0.4,0.06,0.1,"[977, 594, 60, 74]",0.06,0.0,0.01,0.45,0.07,0.01,0.39,"[422, 274, 40, 51]",0.26,0.0,0.08,0.24,0.38,0.01,0.04,"[325, 396, 49, 64]",0.05,0.0,0.02,0.68,0.2,0.01,0.03,"[592, 261, 43, 49]",0.24,0.0,0.15,0.15,0.33,0.04,0.09,"[190, 490, 50, 59]",0.27,0.01,0.09,0.2,0.31,0.02,0.09,"[581, 534, 53, 63]",0.16,0.0,0.11,0.05,0.55,0.04,0.09,"[359, 156, 48, 58]",0.23,0.0,0.12,0.12,0.47,0.03,0.04,"[836, 427, 49, 66]",0.14,0.0,0.06,0.03,0.53,0.01,0.23,"[1136, 249, 46, 61]",0.25,0.0,0.03,0.02,0.4,0.0,0.3,"[986, 375, 41, 50]",0.49,0.0,0.03,0.37,0.04,0.0,0.06,"[945, 341, 36, 49]",0.22,0.0,0.15,0.18,0.33,0.01,0.11,"[714, 252, 36, 46]",0.56,0.0,0.08,0.04,0.31,0.01,0.0,"[900, 13, 30, 39]",0.36,0.0,0.05,0.2,0.31,0.05,0.02,"[733, 559, 51, 66]",0.52,0.0,0.07,0.04,0.11,0.22,0.03,"[525, 480, 50, 64]",0.39,0.0,0.03,0.22,0.28,0.07,0.02,"[437, 368, 40, 48]",0.11,0.0,0.04,0.57,0.25,0.01,0.02,"[776, 315, 44, 55]",0.13,0.0,0.02,0.48,0.17,0.01,0.18,"[790, 140, 37, 47]",0.28,0.0,0.08,0.41,0.18,0.03,0.01
1,"[363, 470, 48, 54]",0.26,0.0,0.06,0.03,0.3,0.01,0.34,"[612, 319, 44, 52]",0.17,0.0,0.16,0.04,0.04,0.44,0.15,"[324, 394, 53, 67]",0.18,0.0,0.09,0.14,0.5,0.03,0.07,"[582, 269, 46, 57]",0.33,0.0,0.05,0.03,0.41,0.0,0.17,"[952, 597, 60, 73]",0.15,0.0,0.03,0.21,0.19,0.03,0.38,"[244, 553, 53, 67]",0.49,0.0,0.02,0.17,0.2,0.0,0.11,"[796, 122, 41, 51]",0.22,0.0,0.09,0.16,0.28,0.18,0.08,"[193, 486, 47, 54]",0.32,0.0,0.1,0.17,0.28,0.02,0.11,"[1134, 246, 47, 62]",0.12,0.0,0.04,0.01,0.29,0.0,0.55,"[353, 153, 50, 63]",0.15,0.0,0.1,0.11,0.58,0.04,0.03,"[418, 274, 45, 56]",0.24,0.0,0.17,0.19,0.33,0.03,0.04,"[282, 295, 52, 66]",0.47,0.0,0.06,0.01,0.35,0.01,0.1,"[1145, 385, 45, 54]",0.17,0.0,0.03,0.23,0.13,0.0,0.44,"[453, 655, 55, 66]",0.16,0.01,0.1,0.0,0.72,0.01,0.01,"[184, 366, 48, 59]",0.39,0.0,0.07,0.27,0.15,0.01,0.11,"[1025, 320, 32, 45]",0.13,0.0,0.03,0.18,0.42,0.0,0.24,"[523, 475, 55, 70]",0.35,0.0,0.05,0.12,0.38,0.08,0.02,"[838, 425, 50, 66]",0.07,0.0,0.03,0.03,0.75,0.01,0.11,"[1113, 342, 36, 49]",0.17,0.0,0.19,0.01,0.59,0.01,0.03,"[45, 589, 56, 67]",0.43,0.0,0.06,0.1,0.32,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[512, 97, 138, 172]",0.11,0.0,0.35,0.02,0.45,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[533, 108, 129, 170]",0.09,0.0,0.15,0.27,0.24,0.01,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[1197, 440, 68, 86]",0.08,0.0,0.03,0.75,0.07,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[427, 203, 59, 72]",0.03,0.0,0.03,0.3,0.36,0.0,0.28,"[148, 266, 60, 72]",0.09,0.0,0.06,0.01,0.06,0.0,0.78,"[1204, 442, 62, 78]",0.12,0.0,0.05,0.66,0.03,0.01,0.14,"[1106, 265, 53, 68]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,"[295, 353, 64, 79]",0.04,0.0,0.02,0.4,0.07,0.0,0.47,"[906, 648, 61, 77]",0.39,0.0,0.05,0.22,0.15,0.01,0.18,"[1153, 649, 67, 80]",0.23,0.0,0.06,0.03,0.59,0.01,0.08,"[858, 67, 55, 72]",0.03,0.0,0.04,0.01,0.05,0.07,0.8,"[443, 6, 59, 74]",0.27,0.0,0.1,0.07,0.34,0.0,0.22,"[15, 646, 65, 83]",0.38,0.0,0.15,0.04,0.18,0.15,0.1,"[981, 569, 58, 75]",0.09,0.0,0.04,0.0,0.1,0.05,0.73,"[821, 255, 58, 75]",0.22,0.0,0.22,0.23,0.22,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[321, 349, 64, 78]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,"[412, 206, 56, 70]",0.06,0.0,0.03,0.65,0.09,0.0,0.17,"[1189, 443, 63, 77]",0.07,0.0,0.22,0.35,0.13,0.01,0.23,"[367, 290, 53, 67]",0.39,0.0,0.06,0.04,0.12,0.01,0.39,"[303, 460, 57, 75]",0.14,0.0,0.05,0.11,0.15,0.01,0.54,"[445, 10, 57, 69]",0.22,0.0,0.1,0.04,0.46,0.01,0.16,"[1214, 547, 58, 75]",0.05,0.0,0.04,0.83,0.02,0.01,0.05,"[759, 449, 60, 68]",0.22,0.0,0.27,0.08,0.27,0.07,0.1,"[1153, 639, 55, 71]",0.14,0.03,0.05,0.07,0.13,0.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[1179, 445, 67, 83]",0.05,0.0,0.07,0.04,0.13,0.0,0.71,"[312, 353, 65, 80]",0.0,0.0,0.0,0.95,0.0,0.0,0.05,"[492, 554, 71, 79]",0.05,0.0,0.02,0.81,0.04,0.0,0.08,"[400, 201, 56, 70]",0.09,0.0,0.04,0.45,0.24,0.0,0.17,"[1157, 638, 75, 88]",0.18,0.0,0.02,0.5,0.23,0.0,0.06,"[1031, 308, 45, 57]",0.09,0.0,0.02,0.54,0.29,0.0,0.05,"[345, 291, 55, 71]",0.16,0.0,0.38,0.02,0.22,0.06,0.15,"[964, 653, 59, 76]",0.49,0.01,0.17,0.02,0.28,0.0,0.03,"[1211, 548, 61, 72]",0.11,0.0,0.07,0.71,0.05,0.01,0.04,"[210, 85, 53, 62]",0.54,0.01,0.09,0.08,0.24,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[645, 113, 115, 172]",0.2,0.0,0.06,0.03,0.26,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[526, 112, 134, 172]",0.1,0.0,0.01,0.02,0.09,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[655, 98, 111, 168]",0.23,0.0,0.31,0.0,0.29,0.01,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[571, 102, 131, 172]",0.13,0.0,0.4,0.03,0.32,0.02,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[653, 91, 139, 198]",0.16,0.0,0.41,0.0,0.12,0.12,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[595, 115, 71, 98]",0.06,0.0,0.2,0.01,0.5,0.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[497, 101, 129, 175]",0.09,0.0,0.83,0.0,0.01,0.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[632, 95, 133, 193]",0.27,0.0,0.31,0.03,0.17,0.05,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[532, 126, 130, 170]",0.11,0.0,0.08,0.06,0.18,0.02,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[477, 123, 133, 170]",0.06,0.0,0.03,0.39,0.1,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
