,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[657, 85, 259, 345]",0.06,0.0,0.02,0.39,0.05,0.01,0.46,"[542, 148, 160, 218]",0.86,0.02,0.08,0.0,0.04,0.0,0.0,,,,,,,,
1,"[556, 156, 174, 219]",0.25,0.03,0.16,0.0,0.53,0.0,0.04,"[685, 110, 262, 338]",0.05,0.0,0.2,0.08,0.16,0.0,0.5,"[11, 361, 33, 37]",0.21,0.0,0.08,0.19,0.49,0.0,0.03
2,"[562, 147, 172, 228]",0.66,0.04,0.16,0.0,0.1,0.01,0.02,"[678, 100, 282, 385]",0.32,0.0,0.26,0.1,0.14,0.01,0.18,,,,,,,,
3,"[540, 128, 186, 248]",0.7,0.01,0.14,0.0,0.14,0.0,0.0,"[677, 91, 284, 368]",0.14,0.0,0.25,0.05,0.18,0.01,0.36,,,,,,,,
4,"[527, 134, 180, 243]",0.77,0.06,0.1,0.0,0.04,0.01,0.02,"[658, 84, 286, 378]",0.07,0.0,0.03,0.49,0.07,0.01,0.33,,,,,,,,
5,"[582, 154, 177, 222]",0.57,0.03,0.22,0.0,0.15,0.03,0.0,"[698, 93, 271, 354]",0.14,0.01,0.23,0.03,0.14,0.0,0.46,,,,,,,,
6,"[551, 140, 179, 233]",0.51,0.06,0.11,0.0,0.29,0.0,0.03,"[704, 88, 266, 369]",0.13,0.0,0.37,0.22,0.09,0.01,0.18,,,,,,,,
7,"[579, 136, 184, 244]",0.29,0.06,0.16,0.0,0.49,0.0,0.0,"[721, 95, 267, 358]",0.16,0.0,0.14,0.03,0.19,0.01,0.46,,,,,,,,
8,"[630, 149, 166, 225]",0.55,0.05,0.1,0.01,0.25,0.0,0.03,"[680, 97, 287, 355]",0.14,0.0,0.36,0.05,0.23,0.0,0.22,,,,,,,,
9,"[587, 126, 181, 237]",0.31,0.04,0.15,0.0,0.38,0.0,0.13,,,,,,,,,,,,,,,,
10,"[586, 133, 179, 233]",0.38,0.13,0.2,0.0,0.22,0.0,0.07,"[4, 364, 31, 34]",0.55,0.0,0.14,0.06,0.19,0.03,0.02,,,,,,,,
