,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7
0,"[626, 177, 61, 82]",0.25,0.01,0.09,0.02,0.11,0.01,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[916, 305, 34, 40]",0.16,0.0,0.13,0.52,0.08,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[395, 83, 418, 536]",0.02,0.0,0.04,0.84,0.03,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[442, 68, 409, 527]",0.0,0.0,0.0,0.98,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[361, 266, 34, 43]",0.11,0.0,0.0,0.05,0.02,0.01,0.8,"[447, 231, 32, 40]",0.2,0.0,0.09,0.28,0.2,0.01,0.22,"[755, 221, 53, 64]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,"[259, 192, 52, 70]",0.07,0.0,0.01,0.21,0.03,0.01,0.67,"[827, 247, 38, 45]",0.08,0.0,0.06,0.38,0.21,0.02,0.25,"[579, 208, 69, 94]",0.47,0.0,0.07,0.03,0.32,0.0,0.11,"[59, 72, 102, 138]",0.72,0.0,0.01,0.01,0.24,0.0,0.03,"[544, 256, 17, 23]",0.41,0.0,0.17,0.17,0.15,0.0,0.1
5,"[722, 216, 125, 151]",0.16,0.0,0.04,0.21,0.11,0.0,0.48,"[552, 296, 51, 67]",0.26,0.0,0.05,0.46,0.08,0.03,0.11,"[1034, 327, 43, 49]",0.39,0.0,0.06,0.04,0.38,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[159, 345, 20, 27]",0.28,0.0,0.07,0.46,0.14,0.01,0.04,"[1193, 167, 56, 72]",0.02,0.0,0.0,0.91,0.03,0.0,0.03,"[1015, 359, 48, 51]",0.2,0.09,0.04,0.06,0.49,0.06,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[314, 186, 60, 73]",0.1,0.0,0.16,0.11,0.28,0.02,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[388, 171, 127, 158]",0.01,0.0,0.0,0.95,0.01,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[600, 236, 113, 144]",0.0,0.0,0.0,0.96,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
