,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
0,"[273, 230, 28, 34]",0.2,0.04,0.07,0.11,0.44,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[403, 83, 410, 522]",0.05,0.01,0.02,0.43,0.08,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[386, 72, 416, 536]",0.01,0.0,0.0,0.97,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[575, 75, 193, 263]",0.04,0.0,0.03,0.01,0.25,0.59,0.08,"[617, 440, 23, 28]",0.2,0.0,0.07,0.08,0.59,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,
4,"[676, 132, 121, 160]",0.24,0.0,0.03,0.38,0.05,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[587, 121, 132, 164]",0.61,0.0,0.1,0.05,0.07,0.03,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[617, 134, 124, 158]",0.11,0.0,0.02,0.76,0.05,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[471, 116, 179, 226]",0.15,0.0,0.09,0.1,0.52,0.03,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[520, 150, 177, 223]",0.11,0.0,0.03,0.2,0.4,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[521, 127, 179, 246]",0.69,0.02,0.01,0.13,0.08,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[523, 133, 167, 219]",0.45,0.02,0.03,0.33,0.12,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[516, 132, 173, 231]",0.65,0.01,0.09,0.03,0.17,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
