,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16
0,"[96, 295, 30, 37]",0.46,0.0,0.01,0.43,0.07,0.0,0.04,"[1155, 289, 29, 38]",0.76,0.0,0.01,0.01,0.08,0.0,0.13,"[1009, 300, 29, 37]",0.64,0.04,0.02,0.02,0.19,0.0,0.09,"[67, 612, 23, 26]",0.06,0.0,0.14,0.14,0.38,0.08,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[1014, 302, 28, 34]",0.23,0.0,0.01,0.07,0.51,0.0,0.18,"[100, 292, 29, 40]",0.39,0.0,0.0,0.18,0.13,0.0,0.3,"[1155, 289, 29, 39]",0.87,0.0,0.0,0.01,0.04,0.0,0.07,"[561, 179, 37, 44]",0.78,0.0,0.0,0.0,0.06,0.0,0.16,"[67, 614, 23, 24]",0.05,0.0,0.12,0.1,0.4,0.11,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[90, 236, 19, 23]",0.01,0.0,0.0,0.02,0.11,0.0,0.86,"[151, 231, 19, 25]",0.4,0.0,0.01,0.02,0.46,0.0,0.1,"[214, 234, 21, 28]",0.55,0.0,0.03,0.13,0.23,0.0,0.05,"[881, 235, 22, 32]",0.52,0.0,0.04,0.07,0.3,0.0,0.06,"[985, 255, 18, 24]",0.31,0.0,0.01,0.43,0.15,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[362, 152, 25, 30]",0.6,0.11,0.01,0.01,0.26,0.0,0.01,"[214, 236, 19, 26]",0.38,0.0,0.05,0.02,0.49,0.0,0.05,"[151, 232, 19, 24]",0.32,0.0,0.01,0.23,0.26,0.0,0.17,"[88, 239, 19, 23]",0.06,0.0,0.08,0.05,0.08,0.0,0.72,"[888, 239, 22, 30]",0.75,0.0,0.1,0.0,0.14,0.0,0.01,"[1196, 258, 25, 31]",0.42,0.0,0.05,0.4,0.03,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[151, 232, 21, 26]",0.32,0.0,0.01,0.09,0.46,0.0,0.13,"[366, 150, 25, 30]",0.62,0.0,0.05,0.07,0.19,0.0,0.07,"[884, 234, 23, 32]",0.86,0.0,0.01,0.03,0.06,0.0,0.04,"[94, 237, 19, 24]",0.07,0.0,0.03,0.06,0.3,0.0,0.53,"[210, 238, 19, 28]",0.52,0.0,0.07,0.02,0.27,0.01,0.11,"[987, 255, 20, 25]",0.19,0.0,0.01,0.56,0.16,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[727, 353, 20, 27]",0.18,0.0,0.02,0.31,0.36,0.04,0.08,"[1206, 410, 37, 56]",0.25,0.0,0.11,0.31,0.27,0.02,0.04,"[696, 343, 14, 19]",0.16,0.0,0.04,0.43,0.28,0.0,0.08,"[970, 366, 20, 29]",0.14,0.0,0.05,0.5,0.26,0.0,0.05,"[1078, 396, 34, 53]",0.33,0.0,0.16,0.05,0.18,0.13,0.15,"[852, 338, 17, 22]",0.35,0.0,0.06,0.1,0.47,0.0,0.02,"[904, 346, 23, 30]",0.17,0.01,0.05,0.24,0.37,0.0,0.17,"[766, 362, 21, 28]",0.09,0.0,0.08,0.51,0.24,0.01,0.08,"[1069, 366, 21, 27]",0.27,0.02,0.05,0.07,0.48,0.0,0.12,"[534, 324, 19, 24]",0.19,0.0,0.07,0.04,0.41,0.01,0.28,"[954, 348, 13, 18]",0.43,0.0,0.04,0.14,0.3,0.0,0.08,"[594, 338, 17, 22]",0.27,0.0,0.06,0.14,0.31,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[601, 91, 123, 157]",0.94,0.02,0.03,0.0,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[626, 88, 119, 151]",0.88,0.01,0.05,0.0,0.04,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[572, 97, 117, 150]",0.75,0.01,0.05,0.08,0.05,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[631, 87, 125, 155]",0.98,0.0,0.01,0.0,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
