,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15
0,"[100, 297, 29, 35]",0.21,0.0,0.01,0.2,0.27,0.0,0.31,"[1154, 289, 30, 38]",0.68,0.0,0.01,0.02,0.1,0.0,0.18,"[1012, 300, 30, 37]",0.52,0.0,0.02,0.05,0.22,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[90, 236, 19, 23]",0.01,0.0,0.0,0.02,0.11,0.0,0.86,"[151, 231, 19, 25]",0.4,0.0,0.01,0.02,0.46,0.0,0.1,"[214, 234, 21, 28]",0.55,0.0,0.03,0.13,0.23,0.0,0.05,"[881, 235, 22, 32]",0.52,0.0,0.04,0.07,0.3,0.0,0.06,"[985, 255, 18, 24]",0.31,0.0,0.01,0.43,0.15,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[884, 233, 23, 33]",0.87,0.0,0.01,0.02,0.08,0.0,0.02,"[151, 232, 20, 25]",0.23,0.0,0.01,0.09,0.43,0.0,0.24,"[92, 237, 19, 25]",0.04,0.0,0.04,0.04,0.28,0.0,0.6,"[217, 233, 20, 26]",0.59,0.0,0.09,0.02,0.23,0.0,0.06,"[354, 154, 25, 29]",0.37,0.02,0.13,0.01,0.44,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[727, 353, 20, 27]",0.18,0.0,0.02,0.31,0.36,0.04,0.08,"[1206, 410, 37, 56]",0.25,0.0,0.11,0.31,0.27,0.02,0.04,"[696, 343, 14, 19]",0.16,0.0,0.04,0.43,0.28,0.0,0.08,"[970, 366, 20, 29]",0.14,0.0,0.05,0.5,0.26,0.0,0.05,"[1078, 396, 34, 53]",0.33,0.0,0.16,0.05,0.18,0.13,0.15,"[852, 338, 17, 22]",0.35,0.0,0.06,0.1,0.47,0.0,0.02,"[904, 346, 23, 30]",0.17,0.01,0.05,0.24,0.37,0.0,0.17,"[766, 362, 21, 28]",0.09,0.0,0.08,0.51,0.24,0.01,0.08,"[1069, 366, 21, 27]",0.27,0.02,0.05,0.07,0.48,0.0,0.12,"[534, 324, 19, 24]",0.19,0.0,0.07,0.04,0.41,0.01,0.28,"[954, 348, 13, 18]",0.43,0.0,0.04,0.14,0.3,0.0,0.08,"[594, 338, 17, 22]",0.27,0.0,0.06,0.14,0.31,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[627, 83, 125, 157]",0.97,0.0,0.0,0.01,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[572, 97, 117, 150]",0.75,0.01,0.05,0.08,0.05,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[645, 85, 124, 159]",0.85,0.01,0.03,0.0,0.06,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[557, 87, 120, 157]",0.82,0.0,0.03,0.0,0.06,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[578, 92, 119, 149]",0.91,0.01,0.02,0.0,0.04,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[644, 101, 130, 157]",0.98,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[557, 92, 114, 156]",0.62,0.0,0.03,0.01,0.05,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[602, 72, 133, 166]",0.95,0.01,0.01,0.0,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[561, 87, 118, 155]",0.82,0.01,0.04,0.0,0.08,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[605, 90, 127, 160]",0.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[549, 91, 119, 155]",0.9,0.01,0.02,0.04,0.01,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[631, 72, 136, 171]",0.98,0.0,0.0,0.0,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
