,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11
0,"[105, 74, 84, 113]",0.11,0.0,0.03,0.01,0.72,0.0,0.12,"[337, 86, 67, 88]",0.11,0.0,0.02,0.57,0.17,0.0,0.13,"[420, 203, 75, 95]",0.01,0.0,0.02,0.74,0.13,0.0,0.09,"[159, 195, 95, 121]",0.08,0.0,0.19,0.12,0.26,0.03,0.32,"[1007, 119, 90, 111]",0.29,0.0,0.09,0.04,0.37,0.0,0.21,"[900, 145, 76, 106]",0.25,0.0,0.02,0.23,0.14,0.0,0.36,"[636, 51, 67, 92]",0.13,0.0,0.04,0.5,0.19,0.02,0.12,"[582, 189, 68, 90]",0.02,0.0,0.01,0.9,0.03,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[197, 189, 90, 121]",0.03,0.0,0.05,0.0,0.77,0.0,0.15,"[604, 180, 72, 96]",0.01,0.0,0.01,0.94,0.01,0.0,0.04,"[114, 67, 80, 112]",0.11,0.0,0.02,0.0,0.81,0.0,0.06,"[509, 84, 70, 96]",0.16,0.0,0.02,0.06,0.53,0.0,0.22,"[317, 81, 70, 93]",0.05,0.0,0.01,0.65,0.2,0.0,0.07,"[888, 147, 74, 103]",0.28,0.0,0.03,0.37,0.11,0.01,0.21,"[985, 115, 88, 104]",0.1,0.0,0.09,0.06,0.63,0.0,0.11,"[637, 43, 66, 94]",0.11,0.0,0.07,0.26,0.46,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[192, 186, 92, 122]",0.03,0.0,0.05,0.0,0.84,0.0,0.08,"[120, 71, 79, 105]",0.14,0.0,0.02,0.0,0.79,0.0,0.04,"[325, 77, 70, 96]",0.11,0.0,0.03,0.38,0.37,0.0,0.1,"[638, 41, 67, 92]",0.13,0.0,0.04,0.3,0.44,0.02,0.07,"[566, 187, 74, 88]",0.26,0.0,0.05,0.05,0.36,0.03,0.24,"[890, 144, 72, 100]",0.2,0.0,0.03,0.42,0.11,0.01,0.24,"[423, 205, 75, 94]",0.04,0.0,0.04,0.35,0.08,0.02,0.47,"[1035, 123, 72, 102]",0.33,0.0,0.14,0.28,0.19,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[583, 409, 15, 22]",0.11,0.0,0.03,0.77,0.05,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[590, 409, 17, 21]",0.45,0.0,0.02,0.02,0.31,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[598, 407, 18, 24]",0.75,0.0,0.05,0.07,0.08,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[591, 412, 16, 21]",0.22,0.0,0.04,0.25,0.38,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[575, 105, 107, 146]",0.16,0.01,0.13,0.06,0.23,0.1,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[571, 124, 108, 141]",0.23,0.0,0.08,0.28,0.21,0.01,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[571, 118, 107, 140]",0.31,0.0,0.1,0.09,0.24,0.01,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
