,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
0,"[774, 239, 15, 19]",0.03,0.0,0.07,0.09,0.41,0.22,0.18,"[168, 192, 16, 21]",0.27,0.0,0.3,0.02,0.37,0.02,0.02,"[601, 250, 15, 20]",0.24,0.03,0.48,0.03,0.2,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,
1,"[773, 238, 14, 19]",0.07,0.0,0.08,0.09,0.44,0.09,0.24,"[168, 193, 17, 21]",0.24,0.0,0.23,0.01,0.48,0.01,0.03,"[959, 236, 17, 23]",0.19,0.0,0.1,0.05,0.63,0.01,0.02,"[363, 246, 14, 20]",0.12,0.0,0.3,0.02,0.5,0.03,0.03,,,,,,,,,,,,,,,,
2,"[774, 238, 15, 20]",0.14,0.0,0.09,0.16,0.28,0.18,0.14,"[169, 194, 16, 19]",0.3,0.0,0.14,0.01,0.49,0.0,0.05,"[365, 248, 15, 19]",0.22,0.0,0.33,0.02,0.38,0.01,0.04,"[604, 238, 15, 21]",0.08,0.01,0.38,0.03,0.43,0.02,0.05,,,,,,,,,,,,,,,,
3,"[776, 240, 14, 18]",0.06,0.0,0.08,0.14,0.51,0.08,0.13,"[169, 194, 15, 20]",0.35,0.01,0.21,0.03,0.35,0.01,0.04,"[367, 248, 14, 19]",0.11,0.0,0.25,0.03,0.59,0.01,0.01,"[609, 239, 15, 21]",0.15,0.0,0.52,0.04,0.16,0.07,0.04,"[291, 361, 32, 44]",0.15,0.0,0.07,0.29,0.21,0.03,0.25,,,,,,,,
4,"[168, 194, 16, 19]",0.22,0.0,0.34,0.04,0.34,0.03,0.03,"[491, 239, 16, 21]",0.33,0.0,0.05,0.11,0.38,0.01,0.11,"[776, 241, 14, 18]",0.13,0.0,0.09,0.02,0.49,0.22,0.04,"[610, 240, 15, 20]",0.46,0.0,0.32,0.06,0.07,0.05,0.04,"[366, 248, 14, 19]",0.07,0.0,0.12,0.04,0.75,0.01,0.01,,,,,,,,
5,"[612, 245, 15, 21]",0.1,0.0,0.54,0.06,0.2,0.05,0.04,"[168, 194, 17, 19]",0.24,0.0,0.35,0.04,0.31,0.03,0.03,"[365, 248, 14, 19]",0.06,0.0,0.18,0.03,0.71,0.01,0.02,"[773, 242, 16, 19]",0.09,0.0,0.14,0.02,0.57,0.15,0.03,,,,,,,,,,,,,,,,
6,"[364, 249, 15, 19]",0.24,0.0,0.23,0.03,0.49,0.01,0.0,"[167, 194, 16, 19]",0.2,0.0,0.29,0.01,0.47,0.02,0.02,"[486, 237, 15, 21]",0.28,0.0,0.06,0.08,0.51,0.02,0.06,"[611, 242, 15, 20]",0.24,0.0,0.32,0.15,0.13,0.04,0.12,,,,,,,,,,,,,,,,
7,"[165, 194, 17, 21]",0.4,0.01,0.08,0.13,0.31,0.02,0.06,"[486, 240, 16, 22]",0.33,0.0,0.06,0.13,0.36,0.02,0.1,"[772, 242, 16, 20]",0.57,0.0,0.08,0.14,0.16,0.04,0.02,"[366, 252, 14, 17]",0.16,0.0,0.26,0.02,0.48,0.05,0.02,"[539, 336, 19, 24]",0.33,0.0,0.22,0.05,0.34,0.01,0.06,"[610, 243, 15, 20]",0.24,0.0,0.27,0.07,0.24,0.07,0.1
8,"[611, 245, 14, 19]",0.17,0.0,0.37,0.07,0.28,0.04,0.07,"[165, 195, 16, 20]",0.35,0.01,0.19,0.08,0.32,0.03,0.03,"[775, 239, 15, 22]",0.26,0.0,0.08,0.15,0.44,0.02,0.06,"[494, 243, 16, 21]",0.42,0.0,0.05,0.1,0.31,0.04,0.08,,,,,,,,,,,,,,,,
9,"[779, 238, 14, 21]",0.27,0.0,0.05,0.32,0.26,0.02,0.08,"[613, 244, 14, 19]",0.17,0.0,0.31,0.11,0.29,0.03,0.08,"[164, 193, 17, 21]",0.34,0.01,0.25,0.04,0.33,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,
10,"[575, 189, 119, 145]",0.16,0.0,0.01,0.02,0.05,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[565, 184, 123, 148]",0.12,0.0,0.01,0.0,0.03,0.0,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[565, 186, 126, 151]",0.07,0.0,0.0,0.01,0.03,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[563, 186, 121, 147]",0.06,0.0,0.0,0.0,0.02,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[559, 184, 124, 149]",0.06,0.0,0.01,0.01,0.02,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[564, 173, 120, 146]",0.12,0.0,0.03,0.01,0.09,0.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[564, 164, 120, 146]",0.15,0.0,0.05,0.02,0.09,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[577, 171, 120, 151]",0.28,0.0,0.06,0.01,0.09,0.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[566, 192, 123, 146]",0.07,0.0,0.03,0.01,0.03,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[567, 191, 123, 150]",0.13,0.0,0.01,0.0,0.05,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[570, 196, 121, 143]",0.07,0.0,0.0,0.0,0.02,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[565, 190, 127, 151]",0.17,0.0,0.01,0.0,0.05,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[565, 190, 126, 154]",0.05,0.0,0.01,0.0,0.03,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[577, 194, 120, 147]",0.17,0.0,0.01,0.0,0.06,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[567, 192, 124, 146]",0.13,0.0,0.01,0.0,0.06,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[569, 191, 124, 149]",0.19,0.0,0.02,0.0,0.06,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[574, 198, 120, 144]",0.08,0.0,0.01,0.02,0.04,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
