,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[297, 90, 198, 250]",0.01,0.0,0.04,0.07,0.01,0.02,0.85,,,,,,,,,,,,,,,,
1,"[325, 74, 193, 255]",0.15,0.0,0.11,0.14,0.02,0.03,0.55,"[422, 407, 38, 52]",0.39,0.0,0.16,0.04,0.32,0.02,0.07,,,,,,,,
2,"[420, 403, 36, 51]",0.34,0.0,0.14,0.02,0.37,0.03,0.09,,,,,,,,,,,,,,,,
3,"[340, 62, 194, 250]",0.23,0.0,0.11,0.03,0.08,0.01,0.54,,,,,,,,,,,,,,,,
4,"[349, 70, 187, 256]",0.28,0.0,0.21,0.19,0.13,0.02,0.17,,,,,,,,,,,,,,,,
5,"[481, 182, 39, 49]",0.02,0.0,0.08,0.22,0.02,0.29,0.37,,,,,,,,,,,,,,,,
6,"[296, 75, 193, 246]",0.02,0.0,0.03,0.1,0.03,0.01,0.81,"[416, 399, 39, 53]",0.22,0.0,0.21,0.02,0.36,0.07,0.12,,,,,,,,
7,"[302, 84, 194, 254]",0.08,0.0,0.03,0.07,0.03,0.02,0.76,,,,,,,,,,,,,,,,
8,"[333, 77, 191, 266]",0.15,0.0,0.06,0.02,0.07,0.01,0.69,"[416, 410, 39, 55]",0.18,0.0,0.23,0.03,0.45,0.06,0.06,,,,,,,,
9,"[299, 73, 199, 258]",0.06,0.0,0.08,0.13,0.04,0.1,0.6,"[410, 403, 41, 52]",0.11,0.0,0.12,0.05,0.34,0.12,0.26,,,,,,,,
10,"[331, 69, 199, 262]",0.17,0.0,0.03,0.01,0.03,0.01,0.75,,,,,,,,,,,,,,,,
11,"[320, 78, 196, 249]",0.2,0.0,0.16,0.31,0.03,0.06,0.24,"[417, 403, 36, 50]",0.29,0.0,0.17,0.03,0.3,0.09,0.11,,,,,,,,
12,"[334, 142, 55, 65]",0.22,0.0,0.11,0.12,0.05,0.36,0.13,,,,,,,,,,,,,,,,
13,"[345, 67, 199, 256]",0.14,0.0,0.02,0.01,0.04,0.0,0.79,,,,,,,,,,,,,,,,
14,"[309, 75, 198, 263]",0.06,0.0,0.21,0.07,0.01,0.13,0.5,,,,,,,,,,,,,,,,
15,"[313, 84, 194, 253]",0.13,0.0,0.08,0.03,0.04,0.04,0.68,"[411, 399, 42, 58]",0.07,0.0,0.22,0.02,0.55,0.06,0.09,,,,,,,,
16,"[331, 94, 185, 256]",0.1,0.0,0.19,0.09,0.04,0.02,0.56,,,,,,,,,,,,,,,,
17,"[315, 68, 194, 254]",0.11,0.01,0.15,0.08,0.03,0.07,0.54,,,,,,,,,,,,,,,,
18,"[319, 69, 191, 254]",0.06,0.0,0.39,0.04,0.05,0.13,0.34,,,,,,,,,,,,,,,,
19,"[325, 77, 196, 253]",0.13,0.0,0.28,0.04,0.05,0.09,0.4,,,,,,,,,,,,,,,,
20,"[316, 83, 197, 253]",0.08,0.0,0.11,0.09,0.02,0.05,0.65,,,,,,,,,,,,,,,,
21,"[322, 74, 196, 262]",0.18,0.0,0.44,0.09,0.14,0.04,0.11,,,,,,,,,,,,,,,,
22,"[322, 78, 198, 256]",0.31,0.0,0.09,0.08,0.03,0.04,0.45,"[1148, 493, 26, 29]",0.5,0.0,0.15,0.06,0.14,0.03,0.13,,,,,,,,
23,"[344, 166, 54, 64]",0.15,0.0,0.09,0.04,0.06,0.27,0.39,,,,,,,,,,,,,,,,
24,"[319, 71, 193, 248]",0.05,0.01,0.4,0.07,0.01,0.18,0.28,,,,,,,,,,,,,,,,
25,"[287, 88, 192, 250]",0.05,0.0,0.05,0.05,0.02,0.02,0.81,,,,,,,,,,,,,,,,
26,"[301, 87, 194, 256]",0.19,0.0,0.14,0.03,0.02,0.08,0.54,"[407, 405, 40, 55]",0.29,0.0,0.16,0.02,0.4,0.02,0.11,,,,,,,,
27,"[363, 85, 183, 260]",0.13,0.0,0.19,0.07,0.11,0.02,0.48,,,,,,,,,,,,,,,,
28,"[324, 71, 192, 249]",0.04,0.0,0.05,0.02,0.03,0.02,0.83,,,,,,,,,,,,,,,,
29,"[313, 83, 195, 251]",0.12,0.0,0.08,0.04,0.03,0.05,0.68,,,,,,,,,,,,,,,,
30,"[328, 81, 188, 253]",0.15,0.0,0.09,0.02,0.07,0.01,0.66,,,,,,,,,,,,,,,,
31,"[301, 85, 192, 254]",0.11,0.0,0.23,0.14,0.05,0.08,0.38,"[409, 406, 40, 53]",0.23,0.0,0.24,0.02,0.39,0.03,0.09,,,,,,,,
32,"[292, 85, 199, 255]",0.06,0.0,0.14,0.07,0.01,0.08,0.63,,,,,,,,,,,,,,,,
33,"[307, 78, 203, 260]",0.15,0.0,0.17,0.04,0.03,0.12,0.48,,,,,,,,,,,,,,,,
34,"[331, 90, 172, 245]",0.29,0.0,0.28,0.05,0.04,0.07,0.27,"[414, 403, 40, 56]",0.21,0.0,0.22,0.02,0.38,0.04,0.12,,,,,,,,
35,"[316, 75, 194, 249]",0.12,0.0,0.15,0.08,0.05,0.03,0.57,,,,,,,,,,,,,,,,
