,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[471, 37, 298, 396]",0.26,0.0,0.16,0.0,0.05,0.07,0.46
1,"[437, 67, 306, 415]",0.03,0.0,0.08,0.0,0.08,0.03,0.78
2,"[523, 117, 169, 222]",0.08,0.0,0.41,0.0,0.02,0.39,0.09
3,"[556, 125, 175, 236]",0.2,0.0,0.09,0.01,0.02,0.01,0.67
4,"[530, 119, 181, 250]",0.26,0.0,0.29,0.0,0.05,0.35,0.05
5,"[410, 123, 198, 263]",0.33,0.0,0.26,0.0,0.08,0.13,0.2
6,"[411, 110, 199, 268]",0.2,0.0,0.42,0.0,0.05,0.06,0.26
7,"[408, 104, 202, 273]",0.17,0.0,0.33,0.0,0.03,0.4,0.06
8,"[396, 111, 195, 253]",0.05,0.0,0.62,0.0,0.01,0.31,0.01
9,"[405, 99, 191, 248]",0.07,0.0,0.32,0.0,0.06,0.54,0.01
10,"[407, 117, 196, 250]",0.38,0.0,0.05,0.0,0.04,0.12,0.41
11,"[457, 26, 297, 386]",0.17,0.0,0.23,0.0,0.35,0.02,0.24
12,"[420, 49, 303, 404]",0.08,0.0,0.02,0.0,0.02,0.0,0.87
13,"[465, 102, 235, 303]",0.13,0.0,0.19,0.0,0.06,0.1,0.52
14,"[496, 156, 168, 213]",0.45,0.0,0.03,0.0,0.03,0.01,0.47
15,"[555, 173, 177, 232]",0.11,0.0,0.61,0.01,0.11,0.01,0.15
16,"[659, 209, 148, 196]",0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,"[418, 6, 269, 349]",0.18,0.0,0.13,0.01,0.05,0.13,0.5
18,"[443, 58, 269, 346]",0.28,0.0,0.16,0.0,0.03,0.3,0.23
19,"[405, 52, 277, 371]",0.13,0.0,0.45,0.0,0.02,0.26,0.13
20,"[385, 83, 280, 359]",0.29,0.0,0.17,0.0,0.06,0.42,0.06
21,"[449, 58, 263, 333]",0.26,0.0,0.03,0.0,0.02,0.03,0.65
22,"[472, 172, 247, 330]",0.54,0.0,0.16,0.06,0.04,0.12,0.08
23,"[503, 158, 177, 234]",0.17,0.0,0.48,0.0,0.05,0.14,0.16
24,"[518, 150, 170, 221]",0.29,0.0,0.23,0.0,0.08,0.05,0.35
25,"[471, 147, 181, 239]",0.17,0.0,0.2,0.0,0.2,0.07,0.35
26,"[463, 67, 261, 339]",0.37,0.0,0.26,0.0,0.12,0.02,0.23
27,"[376, 109, 193, 260]",0.05,0.0,0.61,0.0,0.01,0.32,0.02
28,"[345, 103, 194, 253]",0.09,0.0,0.08,0.0,0.08,0.04,0.71
29,"[354, 122, 200, 269]",0.23,0.0,0.3,0.0,0.04,0.33,0.1
30,"[353, 123, 200, 258]",0.23,0.0,0.23,0.0,0.02,0.26,0.25
31,"[470, 60, 254, 337]",0.26,0.0,0.24,0.0,0.04,0.23,0.23
32,"[515, 124, 161, 225]",0.29,0.0,0.03,0.0,0.06,0.0,0.61
33,"[702, 87, 195, 255]",0.0,0.0,0.0,0.98,0.0,0.0,0.01
34,"[523, 91, 183, 246]",0.21,0.0,0.42,0.0,0.09,0.11,0.18
35,"[461, 100, 257, 343]",0.1,0.0,0.1,0.0,0.03,0.07,0.7
36,"[537, 167, 172, 235]",0.46,0.0,0.34,0.0,0.07,0.11,0.02
37,"[490, 138, 175, 229]",0.08,0.0,0.1,0.0,0.03,0.15,0.63
38,"[543, 119, 155, 194]",0.1,0.0,0.42,0.0,0.14,0.18,0.16
39,"[402, 0, 458, 421]",0.41,0.0,0.03,0.43,0.06,0.0,0.06
40,"[299, 1, 420, 544]",0.02,0.0,0.0,0.7,0.01,0.03,0.23
41,"[455, 74, 251, 326]",0.22,0.0,0.3,0.0,0.08,0.22,0.18
42,"[768, 111, 107, 153]",0.11,0.0,0.01,0.46,0.04,0.0,0.37
43,"[437, 212, 77, 96]",0.37,0.0,0.37,0.04,0.08,0.01,0.13
44,"[480, 68, 167, 222]",0.33,0.0,0.17,0.0,0.09,0.12,0.28
45,"[400, 65, 229, 292]",0.14,0.0,0.47,0.0,0.08,0.12,0.18
46,"[415, 66, 239, 317]",0.3,0.0,0.06,0.0,0.07,0.02,0.55
47,"[475, 126, 209, 278]",0.15,0.0,0.32,0.0,0.02,0.37,0.14
48,"[455, 115, 205, 270]",0.15,0.0,0.27,0.0,0.06,0.09,0.42
49,"[467, 102, 207, 279]",0.11,0.0,0.05,0.0,0.02,0.03,0.78
50,"[487, 85, 197, 255]",0.17,0.0,0.05,0.0,0.05,0.01,0.73
51,"[465, 106, 206, 266]",0.04,0.0,0.02,0.0,0.02,0.01,0.91
52,"[338, 63, 324, 439]",0.24,0.0,0.09,0.0,0.04,0.03,0.59
53,"[393, 32, 313, 400]",0.14,0.0,0.15,0.0,0.07,0.09,0.55
54,"[394, 56, 292, 360]",0.37,0.0,0.02,0.0,0.06,0.02,0.54
