,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7
0,"[592, 114, 123, 157]",0.17,0.0,0.27,0.16,0.11,0.06,0.22,"[1082, 95, 54, 65]",0.1,0.0,0.14,0.32,0.32,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[587, 114, 120, 148]",0.24,0.0,0.19,0.18,0.18,0.08,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[589, 114, 123, 154]",0.1,0.0,0.17,0.47,0.09,0.07,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[590, 118, 118, 149]",0.14,0.0,0.17,0.43,0.08,0.08,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[592, 113, 118, 149]",0.19,0.0,0.12,0.42,0.04,0.06,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[586, 104, 132, 162]",0.17,0.0,0.22,0.43,0.06,0.07,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[581, 101, 136, 168]",0.16,0.0,0.22,0.39,0.15,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[587, 106, 128, 159]",0.14,0.0,0.1,0.19,0.1,0.03,0.44,"[1084, 94, 52, 67]",0.13,0.0,0.06,0.28,0.4,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[587, 107, 124, 155]",0.14,0.0,0.26,0.34,0.09,0.05,0.13,"[1084, 94, 52, 67]",0.13,0.0,0.06,0.28,0.4,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[590, 108, 119, 151]",0.29,0.0,0.42,0.05,0.09,0.05,0.1,"[1084, 94, 52, 67]",0.13,0.0,0.06,0.29,0.4,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[591, 116, 121, 153]",0.06,0.0,0.14,0.59,0.08,0.02,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[585, 118, 129, 158]",0.09,0.0,0.23,0.24,0.2,0.13,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[584, 121, 130, 158]",0.1,0.0,0.37,0.22,0.13,0.08,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[589, 118, 118, 147]",0.53,0.0,0.07,0.14,0.05,0.07,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[590, 111, 121, 152]",0.68,0.0,0.11,0.08,0.03,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[591, 111, 117, 149]",0.69,0.0,0.09,0.13,0.03,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[591, 110, 124, 152]",0.3,0.0,0.13,0.04,0.08,0.06,0.4,"[1083, 94, 53, 67]",0.13,0.0,0.06,0.25,0.39,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[594, 109, 120, 149]",0.15,0.0,0.17,0.04,0.07,0.04,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[594, 108, 123, 152]",0.28,0.0,0.11,0.04,0.05,0.04,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[599, 112, 122, 152]",0.16,0.0,0.37,0.11,0.1,0.18,0.07,"[1084, 94, 52, 67]",0.13,0.0,0.06,0.28,0.42,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[593, 111, 120, 148]",0.41,0.0,0.11,0.13,0.08,0.04,0.22,"[1084, 94, 52, 67]",0.13,0.0,0.06,0.27,0.42,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
