,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
0,"[643, 70, 138, 185]",0.14,0.0,0.1,0.26,0.04,0.01,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[633, 68, 136, 187]",0.36,0.0,0.16,0.08,0.04,0.02,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[651, 73, 125, 171]",0.2,0.0,0.32,0.06,0.05,0.05,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[647, 81, 126, 168]",0.18,0.0,0.37,0.02,0.08,0.04,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[645, 73, 129, 167]",0.19,0.0,0.11,0.02,0.07,0.02,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[647, 79, 124, 163]",0.22,0.0,0.33,0.03,0.12,0.02,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[654, 81, 125, 163]",0.14,0.0,0.18,0.02,0.15,0.04,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[652, 73, 126, 172]",0.2,0.0,0.23,0.05,0.16,0.02,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[635, 59, 152, 199]",0.15,0.0,0.63,0.01,0.05,0.06,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[643, 80, 128, 170]",0.16,0.0,0.28,0.06,0.07,0.11,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[624, 62, 142, 187]",0.11,0.0,0.18,0.03,0.11,0.02,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[644, 77, 125, 165]",0.2,0.0,0.29,0.03,0.11,0.03,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[635, 82, 129, 174]",0.16,0.0,0.41,0.02,0.16,0.05,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[615, 75, 136, 172]",0.24,0.0,0.15,0.06,0.15,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[606, 56, 145, 190]",0.29,0.0,0.18,0.04,0.08,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[632, 73, 123, 168]",0.14,0.0,0.17,0.01,0.09,0.01,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[641, 72, 127, 164]",0.17,0.0,0.21,0.05,0.08,0.09,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[634, 69, 133, 177]",0.21,0.0,0.35,0.02,0.07,0.05,0.31,"[507, 650, 43, 49]",0.09,0.01,0.34,0.1,0.21,0.01,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[641, 69, 136, 184]",0.25,0.0,0.27,0.08,0.05,0.09,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[630, 71, 127, 179]",0.09,0.0,0.49,0.02,0.1,0.03,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[631, 76, 129, 174]",0.26,0.0,0.33,0.02,0.08,0.02,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[635, 66, 135, 182]",0.13,0.0,0.43,0.01,0.09,0.04,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[623, 75, 130, 178]",0.2,0.0,0.37,0.03,0.08,0.02,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[622, 121, 135, 183]",0.17,0.0,0.51,0.01,0.08,0.03,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[888, 84, 172, 220]",0.15,0.0,0.11,0.1,0.24,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[898, 90, 161, 204]",0.16,0.01,0.26,0.01,0.38,0.03,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[657, 79, 127, 171]",0.26,0.0,0.11,0.08,0.06,0.03,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[667, 69, 124, 173]",0.16,0.0,0.43,0.02,0.08,0.18,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[660, 78, 131, 167]",0.16,0.0,0.11,0.01,0.1,0.01,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[660, 80, 122, 170]",0.18,0.0,0.15,0.04,0.09,0.09,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"[641, 85, 127, 164]",0.16,0.0,0.27,0.03,0.09,0.04,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"[643, 70, 134, 182]",0.14,0.0,0.27,0.09,0.2,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"[565, 72, 145, 179]",0.32,0.0,0.62,0.0,0.03,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[660, 83, 114, 155]",0.1,0.0,0.11,0.05,0.08,0.01,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[656, 83, 124, 166]",0.22,0.0,0.18,0.05,0.08,0.02,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"[681, 93, 118, 160]",0.31,0.0,0.23,0.02,0.11,0.02,0.31,"[469, 501, 93, 133]",0.12,0.0,0.04,0.52,0.27,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[663, 89, 122, 162]",0.2,0.0,0.26,0.1,0.07,0.08,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[646, 88, 122, 163]",0.14,0.0,0.29,0.03,0.09,0.03,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[643, 87, 134, 169]",0.26,0.0,0.19,0.08,0.05,0.15,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[651, 86, 128, 164]",0.2,0.0,0.51,0.03,0.08,0.03,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[648, 82, 131, 167]",0.13,0.0,0.36,0.03,0.08,0.15,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[649, 80, 136, 181]",0.07,0.0,0.27,0.05,0.06,0.43,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
