,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12
0,"[528, 141, 184, 233]",0.28,0.0,0.12,0.01,0.15,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[434, 107, 182, 227]",0.1,0.0,0.13,0.14,0.14,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[344, 114, 206, 260]",0.06,0.0,0.2,0.2,0.25,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[359, 126, 193, 254]",0.09,0.0,0.18,0.42,0.03,0.03,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[151, 217, 77, 96]",0.22,0.0,0.04,0.03,0.24,0.0,0.47,"[1165, 182, 69, 91]",0.08,0.0,0.06,0.0,0.13,0.02,0.7,"[377, 27, 44, 53]",0.27,0.0,0.21,0.03,0.47,0.01,0.01,"[528, 74, 40, 52]",0.39,0.0,0.13,0.17,0.25,0.01,0.05,"[287, 237, 86, 109]",0.24,0.0,0.03,0.12,0.2,0.02,0.4,"[104, 70, 41, 50]",0.27,0.01,0.05,0.24,0.4,0.0,0.02,"[660, 107, 45, 58]",0.38,0.0,0.16,0.01,0.41,0.0,0.04,"[911, 192, 70, 90]",0.09,0.0,0.09,0.0,0.25,0.01,0.56,"[138, 88, 58, 71]",0.37,0.0,0.24,0.01,0.32,0.03,0.04,"[457, 80, 46, 57]",0.61,0.0,0.02,0.06,0.21,0.0,0.1,"[775, 80, 41, 50]",0.29,0.0,0.19,0.07,0.41,0.0,0.04,"[747, 177, 73, 96]",0.13,0.0,0.03,0.02,0.02,0.0,0.79,"[24, 64, 45, 58]",0.26,0.01,0.06,0.05,0.61,0.0,0.01
5,"[470, 118, 184, 230]",0.04,0.0,0.04,0.0,0.13,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[572, 97, 195, 237]",0.21,0.0,0.13,0.49,0.09,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[574, 114, 184, 249]",0.25,0.0,0.45,0.02,0.19,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[606, 109, 183, 232]",0.04,0.0,0.54,0.01,0.37,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[492, 127, 184, 233]",0.25,0.0,0.42,0.0,0.06,0.09,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[423, 123, 191, 248]",0.02,0.0,0.82,0.0,0.08,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
