,url,crop,start,end,party,Face
0,https://www.youtube.com/watch?v=3VvwHS8cgbc&ab_channel=%D0%A1%D1%80%D0%BF%D1%81%D0%BA%D0%B0%D0%BD%D0%B0%D0%BF%D1%80%D0%B5%D0%B4%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BA%D0%B0,no,,,SRB_ SNS,0
1,https://www.youtube.com/watch?v=knhZJcISbWQ,no,,,SRB_ SNS,0
2,https://www.youtube.com/watch?v=CSDeAgtpovM&t=104s&ab_channel=%D0%A1%D1%80%D0%BF%D1%81%D0%BA%D0%B0%D0%BD%D0%B0%D0%BF%D1%80%D0%B5%D0%B4%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BA%D0%B0,no,,,SRB_ SNS,0
3,https://www.youtube.com/watch?v=-CPS7PzLnKY&ab_channel=%D0%A1%D1%80%D0%BF%D1%81%D0%BA%D0%B0%D0%BD%D0%B0%D0%BF%D1%80%D0%B5%D0%B4%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BA%D0%B0,no,,,SRB_ SNS,0
4,https://www.youtube.com/watch?v=b8bgphkQuMg&t=120s&ab_channel=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D0%92%D1%83%D1%87%D0%B8%D1%9B,no,,,SRB_ SNS,0
5,https://www.youtube.com/watch?v=ZQanE_nkQRk,yes,0,350,SRB_ DS,1
6,https://www.youtube.com/watch?v=-YfLrV5f53U,yes,120,232,SRB_ DS,0
7,https://www.youtube.com/watch?v=MTZqcL7LhkM,no,,,SRB_ DS,0
8,https://www.youtube.com/watch?v=4-wKomnmpaE,no,,,SRB_ DS,0
9,https://www.youtube.com/watch?v=LktYBrO70X4&t=10s,,,,SRB_ DS,0
10,https://www.youtube.com/watch?v=Qlde15vqS4U&ab_channel=DJB-Suverenisti,no,,,SRB_ DJB,0
11,https://www.youtube.com/watch?v=DQYkwcKwY-U&ab_channel=DJB-Suverenisti,no,,,SRB_ DJB,1
12,https://www.youtube.com/watch?v=MvEjt2BZf-4&ab_channel=DJB-Suverenisti,no,,,SRB_ DJB,0
13,https://www.youtube.com/watch?v=jPemTi2d6bk&t=702s&ab_channel=DJB-Suverenisti,no,,,SRB_ DJB,0
