CPARTYABB,Type_Values,Type_Populism,Type_Populist_Values,Type_Partysize_vote,Type_Partysize_seat
AFG_ JI,4,4.00,4,#NULL!,#NULL!
AFG_ HWIA,4,4.00,4,#NULL!,#NULL!
AFG_ Junbish,2,4.00,4,#NULL!,#NULL!
AFG_ PIUPA,4,4.00,4,#NULL!,#NULL!
AFG_ RPA,2,3.00,4,#NULL!,#NULL!
AGO_ CASA-CE,4,3.00,4,2,2
AGO_ FNLA,4,3.00,4,1,1
AGO_ UNITA,4,3.00,4,3,3
AGO_ MPLA,2,4.00,4,3,3
AGO_ PRS,4,3.00,4,1,1
ALB_ PD,4,3.00,4,3,3
ALB_ LIBRA,1,3.00,3,1,1
ALB_ PDIU,4,3.00,4,2,1
ALB_ PSD,1,2.00,1,1,1
ALB_ LSI,3,4.00,3,3,3
ALB_ PS,3,3.00,3,3,3
ARG_ PRO-UCR,4,2.00,2,3,3
ARG_ UC,1,4.00,3,3,3
ARG_ FCpS,4,4.00,4,1,1
ARG_ Evolución,3,1.00,1,1,1
ARG_ FR,4,4.00,4,1,1
ARG_ PJ,4,4.00,4,3,3
ARG_ FPCyS,1,1.00,1,1,1
ARG_ UpC,4,3.00,4,1,1
ARG_ 1País,4,3.00,4,2,2
ARG_ FIT,1,3.00,3,2,1
ARM_ BA,3,2.00,1,1,#NULL!
ARM_ IKD,3,4.00,3,1,#NULL!
ARM_ PAP,4,4.00,4,1,#NULL!
AUS_ AG,1,2.00,1,3,1
AUS_ ALP,1,1.00,1,3,3
AUS_ Ind.,1,2.00,1,1,1
AUS_ KAP,4,4.00,4,1,1
AUS_ LNP,4,3.00,4,2,3
AUS_ LP,4,2.00,2,3,3
AUS_ NAT,4,3.00,4,2,2
AUS_ NXT,1,2.00,1,1,1
AUT_ ÖVP,4,3.00,4,3,3
AUT_ FPÖ,4,4.00,4,3,3
AUT_ NEOS,3,1.00,1,2,2
AUT_ PILZ,1,2.00,1,2,2
AUT_ SPÖ,1,2.00,1,3,3
AUT_ GRÜNE,1,1.00,1,2,1
AZE_ Ind.,0,4.00,0,1,#NULL!
AZE_ YAP,0,4.00,0,1,#NULL!
BDI_ FRODEBU,4,3.00,4,3,3
BDI_ CNDD-FDD,0,#NULL!,0,3,3
BDI_ UPRONA,2,1.00,2,2,1
BEL_ CD&V,4,2.00,2,3,3
BEL_ VB,4,4.00,4,2,1
BEL_ PRL/MR,3,2.00,1,2,3
BEL_ Groen,1,1.00,1,2,2
BEL_ cdH,2,2.00,2,2,2
BEL_ N-VA,4,4.00,4,3,3
BEL_ Open-VLD,3,2.00,1,2,2
BEL_ PS,1,2.00,1,3,3
BEL_ SPA,1,1.00,1,2,2
BEL_ PA-PTB,1,4.00,3,2,1
BEN_ AND,0,2.00,1,2,2
BEN_ ABT,3,#NULL!,0,1,1
BEN_ AS,0,#NULL!,0,2,2
BEN_ UN,0,#NULL!,0,3,3
BEN_ FCBE,0,4.00,0,3,3
BEN_ AE,0,3.00,0,2,1
BEN_ FDU,1,3.00,3,2,2
BEN_ PRD,0,2.00,0,3,3
BEN_ RB-RP,0,2.00,0,2,2
BEN_ UB,1,#NULL!,0,2,1
BFA_ ADF-RDA,4,1.00,2,3,3
BFA_ CDP,2,2.00,2,3,3
BFA_ CFDB,0,1.00,2,1,1
BFA_ ODT,2,3.00,4,1,1
BFA_ PDS,2,1.00,2,2,1
BFA_ FA,2,3.00,4,1,1
BFA_ UDD,4,1.00,2,1,1
BFA_ UPC,4,1.00,2,3,3
BFA_ UPR-PS,1,2.00,1,2,2
BFA_ UPR,4,1.00,2,2,2
BGD_ AL,1,4.00,3,3,3
BGD_ BNP,4,3.00,4,#NULL!,#NULL!
BGD_ BTF,4,4.00,4,#NULL!,#NULL!
BGD_ JP,3,4.00,3,3,3
BGD_ JP(M),3,4.00,3,#NULL!,#NULL!
BGD_ JSD,3,3.00,3,1,1
BGD_ WPB,3,3.00,3,1,1
BGR_ BSP,2,3.00,4,3,3
BGR_ GERB,4,3.00,4,3,3
BGR_ DPS,1,2.00,1,2,3
BGR_ UP,2,4.00,4,2,3
BGR_ Volya,4,4.00,4,2,2
BHR_ AM,2,4.00,4,#NULL!,#NULL!
BHR_ Ind.,2,3.00,4,#NULL!,#NULL!
BHR_ AA,2,4.00,4,#NULL!,#NULL!
BHS_ DNA,2,3.00,4,#NULL!,#NULL!
BHS_ FNM,2,4.00,4,3,3
BHS_ PLP,2,3.00,4,3,3
BIH_ SNSD,2,4.00,4,3,#NULL!
BIH_ DF,1,3.00,3,2,#NULL!
BIH_ DNS,2,4.00,4,2,#NULL!
BIH_ HDZ-HSS-HSP-HNS-HKDU-HSP-AS BiH-HDU,4,4.00,4,2,#NULL!
BIH_ NS,1,1.00,1,1,#NULL!
BIH_ SDA,2,4.00,4,3,#NULL!
BIH_ PDP,2,3.00,4,2,#NULL!
BIH_ SDS-Lista,2,4.00,4,2,#NULL!
BIH_ SDP,1,2.00,1,2,#NULL!
BIH_ SBB-BiH,4,4.00,4,2,#NULL!
BLR_ BPR,2,4.00,4,#NULL!,#NULL!
BLR_ PKB,2,4.00,4,#NULL!,#NULL!
BLR_ LDPB,2,4.00,4,#NULL!,#NULL!
BLR_ Non-Partisan,2,4.00,4,#NULL!,#NULL!
BLR_ RPTS,2,4.00,4,#NULL!,#NULL!
BLR_ UCP,3,1.00,1,#NULL!,#NULL!
BLZ_ Other,0,4.00,4,1,#NULL!
BLZ_ PUP,4,4.00,4,3,3
BLZ_ UDP,4,#NULL!,0,3,3
BOL_ PDC,4,3.00,4,2,#NULL!
BOL_ MAS,1,3.00,3,3,#NULL!
BOL_ UN,4,2.00,2,3,#NULL!
BRA_ PRB,4,4.00,4,#NULL!,#NULL!
BRA_ PSB,1,2.00,1,#NULL!,#NULL!
BRA_ DEM,4,2.00,2,#NULL!,#NULL!
BRA_ MDB,4,2.00,2,#NULL!,#NULL!
BRA_ PP,4,3.00,4,#NULL!,#NULL!
BRA_ PSDB,3,2.00,1,#NULL!,#NULL!
BRA_ PSL,4,4.00,4,#NULL!,#NULL!
BRA_ PT,1,2.00,1,#NULL!,#NULL!
BRB_ BLP,3,3.00,3,3,3
BRB_ DLP,4,3.00,4,3,1
BTN_ DNT,1,2.00,1,1,#NULL!
BTN_ DPT,3,1.00,1,1,#NULL!
BWA_ BCP,3,3.00,3,3,2
BWA_ BDP,1,3.00,3,3,3
BWA_ UDC,1,3.00,3,3,3
CAN_ BQ,1,2.00,1,2,2
CAN_ CPC,4,3.00,4,3,3
CAN_ GPC,1,1.00,1,2,1
CAN_ LP,1,1.00,1,3,3
CAN_ NDP,1,1.00,1,3,3
CHE_ CVP,2,2.00,2,3,3
CHE_ BDP,4,2.00,2,2,2
CHE_ EVP,4,2.00,2,#NULL!,#NULL!
CHE_ FDP,3,2.00,1,3,3
CHE_ GPS,3,1.00,1,2,2
CHE_ GLP,1,1.00,1,2,2
CHE_ SP,1,2.00,1,3,3
CHE_ PdA,1,3.00,3,#NULL!,#NULL!
CHE_ SVP,4,4.00,4,3,3
CHE_ LdT,4,4.00,4,#NULL!,#NULL!
CHL_ FA,1,3.00,3,3,#NULL!
CHL_ CV,4,2.00,2,3,#NULL!
CHL_ DC,1,2.00,1,3,#NULL!
CHL_ FM,1,2.00,1,3,#NULL!
CIV_ Ind.,3,3.00,3,3,3
CIV_ FPI,2,4.00,4,2,1
CIV_ RHDP,3,2.00,1,3,3
CIV_ UPCI,2,3.00,4,1,1
CIV_ UDPCI,2,2.00,2,2,1
CMR_ UDC,4,3.00,4,#NULL!,1
CMR_ CPDM,4,1.00,2,#NULL!,3
CMR_ CRM,4,3.00,4,#NULL!,1
CMR_ MDR,4,1.00,2,#NULL!,1
CMR_ UNDP,4,1.00,2,#NULL!,1
CMR_ SDF,2,2.00,2,#NULL!,3
CMR_ UPC,2,2.00,2,#NULL!,1
COD_ CACH,2,1.00,2,#NULL!,#NULL!
COD_ FCC,2,1.00,2,#NULL!,#NULL!
COD_ Lamuka,3,3.00,3,#NULL!,#NULL!
COG_ MAR,0,4.00,0,#NULL!,1
COG_ 2002,0,4.00,0,#NULL!,1
COG_ PCT,0,4.00,0,#NULL!,3
COG_ DRD,0,4.00,0,#NULL!,1
COG_ Ind.,0,4.00,0,#NULL!,2
COG_ UPADS,0,4.00,0,#NULL!,2
COG_ PAPA,0,4.00,0,#NULL!,1
COG_ PA,0,4.00,0,#NULL!,1
COG_ RPDS,0,4.00,0,#NULL!,1
COG_ UPM,0,4.00,0,#NULL!,1
COL_ PDA,1,3.00,3,1,1
COL_ OC,0,#NULL!,0,1,1
COL_ List of Decency,3,1.00,1,1,1
COL_ PCC,4,3.00,4,3,3
COL_ PLC,1,1.00,1,3,3
COL_ PCD,4,4.00,4,3,3
COL_ VA,1,2.00,1,2,2
COL_ Mira,4,4.00,4,#NULL!,1
