,id,populism,values,populism_values,psize,psize_seat,anger,disgust,fear,happy,sad,surprise,neutral,negative,populism_2,lr_2
0,0,4.0,4.0,4.0,3.0,3.0,0.21313333333333334,0.010533333333333334,0.12826666666666667,0.0403,0.18013333333333334,0.0247,0.4026,0.5320666666666667,1,1
1,1,4.0,4.0,4.0,3.0,3.0,0.07003731343283581,0.00011194029850746269,0.11208955223880597,0.048507462686567165,0.09123134328358207,0.07746268656716418,0.5997014925373134,0.2734701492537313,1,1
2,2,4.0,4.0,4.0,3.0,3.0,0.18939516129032258,0.0005241935483870967,0.07987903225806453,0.0647983870967742,0.1792741935483871,0.055604838709677425,0.4300806451612903,0.4490725806451613,1,1
3,3,4.0,4.0,4.0,3.0,3.0,0.19093023255813954,0.0012956810631229237,0.14026578073089702,0.23893687707641195,0.10996677740863788,0.063156146179402,0.25465116279069766,0.44245847176079733,1,1
4,4,4.0,4.0,4.0,3.0,3.0,0.20073333333333332,0.008266666666666667,0.1231,0.0363,0.19213333333333332,0.024333333333333335,0.4129,0.5242333333333333,1,1
5,6,2.0,1.0,1.0,2.0,2.0,0.12211309523809524,0.00011904761904761905,0.05735119047619047,0.023452380952380954,0.08726190476190476,0.010267857142857143,0.6976488095238095,0.2668452380952381,0,0
6,7,2.0,1.0,1.0,2.0,2.0,0.270343137254902,0.000196078431372549,0.12254901960784317,0.003431372549019608,0.12029411764705884,0.024362745098039214,0.45754901960784317,0.5133823529411766,0,0
7,8,2.0,1.0,1.0,2.0,2.0,0.2472053872053872,0.0006397306397306397,0.12306397306397308,0.030909090909090907,0.09501683501683501,0.03851851851851852,0.46276094276094276,0.4659259259259259,0,0
8,9,2.0,1.0,1.0,2.0,2.0,0.18935153583617748,0.0007167235494880547,0.27354948805460755,0.07184300341296929,0.09242320819112627,0.04911262798634813,0.32208191126279867,0.5560409556313993,0,0
9,10,2.0,3.0,1.0,2.0,2.0,0.26209302325581396,0.001461794019933555,0.2862790697674419,0.0014617940199335548,0.1682392026578073,0.1190033222591362,0.15940199335548175,0.7180730897009967,0,1
10,12,2.0,3.0,1.0,2.0,2.0,0.14064516129032262,0.0,0.31667741935483873,0.019967741935483868,0.07048387096774195,0.07658064516129033,0.3750322580645161,0.5278064516129033,0,1
11,13,2.0,3.0,1.0,2.0,2.0,0.161875,3.289473684210526e-05,0.36348684210526316,0.016743421052631578,0.12111842105263156,0.03648026315789474,0.29967105263157895,0.6465131578947368,0,1
12,14,2.0,3.0,1.0,2.0,2.0,0.19728624535315986,0.0003345724907063197,0.5479182156133828,0.0012267657992565057,0.06342007434944238,0.08992565055762082,0.099182156133829,0.8089591078066914,0,1
13,15,3.0,2.0,4.0,3.0,3.0,0.2804,0.0046,0.1489,0.0816,0.1272,0.06795,0.28855000000000003,0.5610999999999999,1,0
14,16,3.0,2.0,4.0,3.0,3.0,0.3328286852589641,0.002151394422310757,0.12733067729083664,0.02812749003984064,0.1394422310756972,0.02366533864541833,0.3443027888446215,0.6017529880478087,1,0
15,17,3.0,2.0,4.0,3.0,3.0,0.7256146179401993,0.001993355481727575,0.04757475083056478,0.029435215946843857,0.09252491694352159,0.0032225913621262456,0.09827242524916946,0.8677076411960132,1,0
16,18,3.0,2.0,4.0,3.0,3.0,0.24776190476190477,9.523809523809524e-05,0.03290476190476191,0.18033333333333332,0.12171428571428572,0.016523809523809524,0.39985714285714286,0.4024761904761905,1,0
17,19,3.0,2.0,4.0,3.0,3.0,0.23329729729729728,0.005567567567567567,0.13767567567567568,0.042,0.12913513513513514,0.08794594594594594,0.363027027027027,0.5056756756756757,1,0
18,20,2.0,1.0,1.0,3.0,3.0,0.20096989966555184,0.00016722408026755855,0.03822742474916388,0.0028093645484949833,0.36628762541806026,0.012742474916387962,0.37732441471571915,0.6056521739130436,0,0
19,21,2.0,1.0,1.0,3.0,3.0,0.16679856115107916,0.0007913669064748201,0.051043165467625905,0.010935251798561151,0.1510431654676259,0.011510791366906475,0.6055035971223021,0.36967625899280576,0,0
20,22,2.0,1.0,1.0,3.0,3.0,0.20651685393258426,0.011910112359550562,0.0855056179775281,0.011086142322097379,0.2740449438202247,0.02752808988764045,0.381123595505618,0.5779775280898876,0,0
21,23,2.0,1.0,1.0,3.0,3.0,0.2063138686131387,0.0005109489051094891,0.1600729927007299,0.03751824817518248,0.21649635036496348,0.03138686131386862,0.34711678832116794,0.5833941605839416,0,0
22,24,2.0,1.0,1.0,3.0,3.0,0.2569858156028369,0.0002482269503546099,0.06936170212765959,0.0007801418439716312,0.32858156028368796,0.024751773049645393,0.3174822695035461,0.6551773049645391,0,0
23,25,4.0,2.0,4.0,2.0,2.0,0.1742142857142857,0.0004642857142857143,0.11289285714285717,0.02207142857142857,0.14242857142857143,0.0063214285714285725,0.5401785714285714,0.43000000000000005,1,0
24,26,4.0,2.0,4.0,2.0,2.0,0.11776271186440679,0.0015254237288135596,0.05528813559322035,0.05115254237288135,0.15033898305084747,0.008271186440677968,0.6146779661016949,0.3249152542372882,1,0
25,27,4.0,2.0,4.0,2.0,2.0,0.0633445945945946,0.0005405405405405404,0.08456081081081082,0.0006081081081081081,0.18283783783783783,0.0032094594594594596,0.6632094594594594,0.33128378378378376,1,0
26,28,4.0,2.0,4.0,2.0,2.0,0.11342657342657342,0.005000000000000001,0.14167832167832167,0.01020979020979021,0.25045454545454543,0.02681818181818182,0.45087412587412584,0.5105594405594405,1,0
